fid,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ZIP
"94","75039","75039",B5,G6350,S,"13580967","899928","+32.8856124","-096.9426614",75039
"95","75040","75040",B5,G6350,S,"40539673","17014","+32.9289020","-096.6197821",75040
"96","75041","75041",B5,G6350,S,"20723404","5950","+32.8801959","-096.6515550",75041
"97","75042","75042",B5,G6350,S,"19379228","2357","+32.9117024","-096.6748381",75042
"98","75043","75043",B5,G6350,S,"37690418","13449293","+32.8574467","-096.5757984",75043
"99","75044","75044",B5,G6350,S,"27812655","175910","+32.9646074","-096.6496858",75044
"100","75048","75048",B5,G6350,S,"27173794","327190","+32.9689725","-096.5806714",75048
"101","75050","75050",B5,G6350,S,"64086402","654130","+32.7730689","-097.0052265",75050
"102","75051","75051",B5,G6350,S,"31434523","6307998","+32.7294388","-096.9964687",75051
"103","75052","75052",B5,G6350,S,"67752091","4943026","+32.6647715","-097.0294775",75052
"104","75054","75054",B5,G6350,S,"14074194","2523463","+32.5912096","-097.0394286",75054
"105","75056","75056",B5,G6350,S,"65423928","16053807","+33.0701832","-096.9177624",75056
"106","75057","75057",B5,G6350,S,"26343372","5943802","+33.0507245","-096.9746228",75057
"107","75058","75058",B5,G6350,S,"149285665","1461917","+33.4507685","-096.7422447",75058
"108","75060","75060",B5,G6350,S,"34343344","786829","+32.7964826","-096.9548063",75060
"109","75061","75061",B5,G6350,S,"29960148","82661","+32.8259068","-096.9669148",75061
"110","75062","75062",B5,G6350,S,"28466298","230564","+32.8473702","-096.9578709",75062
"111","75063","75063",B5,G6350,S,"39298510","343984","+32.9204301","-096.9863234",75063
"112","75065","75065",B5,G6350,S,"20578901","19971881","+33.1103511","-097.0054695",75065
"113","75067","75067",B5,G6350,S,"34439395","240931","+33.0135463","-097.0001596",75067
"114","75068","75068",B5,G6350,S,"71097863","19699417","+33.1770616","-096.9502916",75068
"115","75069","75069",B5,G6350,S,"82985199","1733379","+33.1799840","-096.5857115",75069
"116","75070","75070",B5,G6350,S,"61850449","621930","+33.1719158","-096.6962965",75070
"117","75071","75071",B5,G6350,S,"204087437","2258206","+33.2458168","-096.6307203",75071
"118","75074","75074",B5,G6350,S,"42771976","115045","+33.0315613","-096.6731635",75074
"119","75075","75075",B5,G6350,S,"25527051","16552","+33.0212682","-096.7415579",75075
"120","75077","75077",B5,G6350,S,"36171458","3529546","+33.0811778","-097.0609250",75077
"121","75078","75078",B5,G6350,S,"84781521","697180","+33.2417578","-096.8118545",75078
"122","75080","75080",B5,G6350,S,"29598955","45524","+32.9760629","-096.7420804",75080
"123","75081","75081",B5,G6350,S,"23899225","10820","+32.9489183","-096.7097193",75081
"124","75082","75082",B5,G6350,S,"20287521","183140","+32.9915569","-096.6630629",75082
"125","75087","75087",B5,G6350,S,"67834405","24544519","+32.9439006","-096.4528754",75087
"126","75088","75088",B5,G6350,S,"25314578","5685395","+32.8978410","-096.5503702",75088
"127","75089","75089",B5,G6350,S,"29809409","205723","+32.9365863","-096.5515657",75089
"128","75093","75093",B5,G6350,S,"36544789","327038","+33.0342238","-096.8116076",75093
"129","75094","75094",B5,G6350,S,"18069801","37434","+33.0217940","-096.6154809",75094
"130","76054","76054",B5,G6350,S,"9848900","9036","+32.8594103","-097.1786364",76054
"131","76055","76055",B5,G6350,S,"230659133","1625520","+32.1625407","-097.1548100",76055
"132","76058","76058",B5,G6350,S,"140911868","1090250","+32.4703319","-097.4241792",76058
"133","75490","75490",B5,G6350,S,"75969760","204080","+33.4380308","-096.3082803",75490
"134","75491","75491",B5,G6350,S,"247951301","722378","+33.4863236","-096.3959301",75491
"135","76059","76059",B5,G6350,S,"7107127","37929","+32.3925876","-097.3275399",76059
"136","76060","76060",B5,G6350,S,"19164988","80101","+32.6396485","-097.2174763",76060
"137","76061","76061",B5,G6350,S,"3916003","0","+32.5039735","-097.1883735",76061
"138","76063","76063",B5,G6350,S,"134138760","529916","+32.5707396","-097.1448372",76063
"139","76064","76064",B5,G6350,S,"77355911","1067102","+32.3023672","-097.0372190",76064
"140","76065","76065",B5,G6350,S,"254925629","3270330","+32.4694099","-096.9906647",76065
"141","76070","76070",B5,G6350,S,"92847023","2764848","+32.2661421","-097.6551417",76070
"142","76071","76071",B5,G6350,S,"19544445","1098331","+33.0008701","-097.4444836",76071
"143","76078","76078",B5,G6350,S,"174092326","544885","+33.0933651","-097.4627925",76078
"144","76084","76084",B5,G6350,S,"131622990","758154","+32.4263220","-097.0903280",76084
"145","76092","76092",B5,G6350,S,"58428340","7905753","+32.9598733","-097.1484333",76092
"146","76093","76093",B5,G6350,S,"95917026","764363","+32.2104964","-097.3925713",76093
"147","76102","76102",B5,G6350,S,"11174815","505935","+32.7591042","-097.3297558",76102
"148","76103","76103",B5,G6350,S,"14126067","86527","+32.7489472","-097.2726376",76103
"149","76104","76104",B5,G6350,S,"15176244","0","+32.7286880","-097.3178008",76104
"150","76105","76105",B5,G6350,S,"14428853","0","+32.7240465","-097.2694323",76105
"151","76106","76106",B5,G6350,S,"37676270","123007","+32.8166842","-097.3596329",76106
"152","76107","76107",B5,G6350,S,"27900352","337292","+32.7420578","-097.3817300",76107
"153","76108","76108",B5,G6350,S,"120945925","610042","+32.7875407","-097.5237895",76108
"154","76109","76109",B5,G6350,S,"21085045","26703","+32.7006500","-097.3869650",76109
"155","76110","76110",B5,G6350,S,"14855392","119785","+32.7078309","-097.3382651",76110
"156","76111","76111",B5,G6350,S,"21372709","326368","+32.7784988","-097.3001116",76111
"157","76112","76112",B5,G6350,S,"29334009","811464","+32.7474265","-097.2176583",76112
"158","76114","76114",B5,G6350,S,"23623701","149221","+32.7744937","-097.4022756",76114
"159","76115","76115",B5,G6350,S,"12068562","43413","+32.6784998","-097.3305107",76115
"160","76116","76116",B5,G6350,S,"31488704","61044","+32.7207233","-097.4470329",76116
"161","76117","76117",B5,G6350,S,"27934673","278616","+32.8034358","-097.2673761",76117
"162","76118","76118",B5,G6350,S,"19610332","443492","+32.8004344","-097.1927621",76118
"163","76119","76119",B5,G6350,S,"41945067","3643454","+32.6911473","-097.2626248",76119
"164","76120","76120",B5,G6350,S,"25261599","1166031","+32.7759149","-097.1809627",76120
"165","76123","76123",B5,G6350,S,"20960063","81761","+32.6193435","-097.3939580",76123
"166","76126","76126",B5,G6350,S,"164629971","15107904","+32.6359191","-097.5116258",76126
