GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
76210,ZCTA5 76210,41180,1173,80407,2599,0.3786,0.024,1382,291,3954,618,9884,909,6610,779,3273,390,25103,910,44231,1206,90080,5453,0.3778,0.0238,2274,559,5217,750,10662,914,7217,609,3976,469,29346,1054,86680.8775450656
76226,ZCTA5 76226,19896,865,116101,5284,0.3994,0.0274,469,164,2040,351,3286,416,4877,419,1884,276,12556,518,25100,989,132935,5550,0.4024,0.0266,681,196,2148,391,4081,413,6537,490,3354,396,16801,590,125159.955773249
76227,ZCTA5 76227,23268,1020,77386,3992,0.3341,0.0171,827,178,3346,416,5329,514,3617,438,1252,211,14371,672,32000,1167,91293,3421,0.3469,0.0298,1055,352,4374,478,7435,529,5616,528,2026,339,20506,825,83424.1594600277
76234,ZCTA5 76234,15372,860,58848,10379,0.4841,0.0704,1615,332,3503,444,2644,354,1738,316,595,169,10095,536,16187,785,65470,4024,0.4626,0.0541,1184,291,3083,366,3988,445,1676,349,657,222,10588,560,63439.7040279083
76240,ZCTA5 76240,26332,638,47663,2431,0.4482,0.0218,3400,479,5070,420,5644,416,2365,286,874,204,17353,446,27419,797,50527,4403,0.4229,0.0209,2783,350,5921,443,6385,621,2118,302,1211,275,18418,536,51381.9775197491
76244,ZCTA5 76244,64081,2142,93705,3818,0.3226,0.0295,1682,454,5405,802,13751,1136,12005,1121,4053,712,36896,1110,76882,2681,101866,4384,0.3184,0.0178,1714,583,7566,1192,14898,1328,15690,1398,6029,848,45897,1681,101016.474067685
76247,ZCTA5 76247,12283,985,77968,3925,0.3172,0.0248,1008,372,2409,481,2915,371,1296,244,583,183,8211,730,14260,973,90848,5953,0.3638,0.0253,826,245,2230,407,3479,374,2147,329,609,169,9291,615,84051.5708885256
76248,ZCTA5 76248,35660,537,111606,6009,0.3782,0.0173,765,249,2993,401,7017,572,8093,665,3999,533,22867,634,39376,739,129550,5972,0.4114,0.0159,1086,338,3699,482,6637,470,9534,565,4697,441,25653,640,120314.226613287
76249,ZCTA5 76249,6777,498,75250,5916,0.3498,0.0349,391,142,1281,238,1585,269,825,206,192,76,4274,402,8550,751,81207,6950,0.3522,0.034,675,252,1513,365,1715,287,1367,310,496,144,5766,498,81121.49483585
76623,ZCTA5 76623,145,77,41250,11831,0.2671,0.1258,39,35,27,18,24,27,5,7,0,13,95,60,190,84,58750,12483,0.5247,0.1728,51,26,22,15,38,24,2,3,3,6,116,41,44468.5935146686
76626,ZCTA5 76626,1841,297,49364,6900,0.4427,0.0663,138,71,409,166,374,102,235,106,57,37,1213,246,1192,265,52212,12414,0.4263,0.0584,53,31,276,86,252,61,115,45,42,33,738,139,53215.7006123176
