GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
4875236,"Venus town, Texas",3488,168,84,144,60714,0.3551,386,909,287,703,2153,523,22,181,832,86,24,10,1158,0,213,79,2437,799,47.2,40.5,49.6,42.6,2018,252,0.617259174311927,0.149942660550459,0.00630733944954129,0.201548165137615,0.44975,0.682539682539683,0.0694444444444445,0,0.0610665137614679,0.0988735919899875,0.217548076923077,Place
4875236,"Venus town, Texas",3692,190,116,167,68125,0.3289,317,1105,297,802,2245,522,23,157,905,121,48,12,1329,0,200,72,2570,816,50.5,34.3,53.1,46.7,2019,306,0.60807150595883,0.141386782231853,0.0062296858071506,0.217226435536295,0.4615,0.790849673202614,0.0718562874251497,0,0.0541711809317443,0.0882352941176471,0.173480662983425,Place
4830512,"Grandview city, Texas",1364,39,19,48,35078,0.3772,239,200,97,291,1022,48,0,277,517,5,8,0,519,0,264,129,900,406,72.4,71.8,45.9,24.5,2012,58,0.749266862170088,0.0351906158357771,0,0.213343108504399,0.5365,0.172413793103448,0,0,0.193548387096774,0.317733990147783,0.5357833655706,Place
4830512,"Grandview city, Texas",1323,20,19,54,34559,0.4191,205,205,93,246,1008,67,0,241,494,2,7,0,483,0,309,132,891,393,71.7,63.2,38.3,10.6,2013,39,0.761904761904762,0.0506424792139078,0,0.1859410430839,0.4595,0.102564102564103,0,0,0.233560090702948,0.33587786259542,0.487854251012146,Place
4830512,"Grandview city, Texas",1463,50,34,63,42639,0.413,163,263,106,331,1065,66,0,204,521,21,13,0,523,0,370,166,944,433,71,65.2,39.4,5.4,2014,84,0.727956254272044,0.0451127819548872,0,0.226247436773753,0.4525,0.5,0,0,0.252904989747095,0.38337182448037,0.391554702495202,Place
4830512,"Grandview city, Texas",1444,42,26,53,40750,0.3974,129,232,75,246,1106,84,0,211,509,26,7,0,510,0,287,127,949,424,61.4,77.8,73.6,71.8,2015,68,0.765927977839335,0.0581717451523546,0,0.170360110803324,0.7115,0.764705882352941,0,0,0.198753462603878,0.299528301886792,0.414538310412574,Place
4830512,"Grandview city, Texas",1879,60,47,81,44193,0.3958,141,298,125,391,1385,95,0,224,613,36,11,0,700,0,353,184,1142,626,59.8,79.1,71.7,79.6,2016,107,0.737094199042044,0.0505588078765301,0,0.208089409260245,0.7255,0.672897196261682,0,0,0.187865886109633,0.293929712460064,0.365415986949429,Place
4830512,"Grandview city, Texas",1895,60,67,60,43444,0.3961,121,346,129,514,1284,80,12,209,637,36,19,0,725,0,338,181,1164,604,56,84.7,74.5,71.5,2017,127,0.677572559366755,0.0422163588390501,0.00633245382585752,0.271240105540897,0.71675,0.566929133858268,0,0,0.178364116094987,0.299668874172185,0.328100470957614,Place
4830512,"Grandview city, Texas",2203,99,92,63,43500,0.4095,163,403,151,557,1574,57,11,277,734,57,40,0,876,0,337,166,1328,684,58.1,81.7,74.7,71.8,2018,191,0.71448025419882,0.0258738084430322,0.00499319110304131,0.252837040399455,0.71575,0.596858638743456,0,0,0.152973218338629,0.242690058479532,0.377384196185286,Place
4830512,"Grandview city, Texas",1841,94,65,43,45964,0.407,125,324,132,411,1367,44,9,230,613,63,37,0,715,0,283,117,1121,561,57.4,77.1,76.3,69.8,2019,159,0.74253123302553,0.0239000543183053,0.0048886474741988,0.223248234655079,0.7015,0.792452830188679,0,0,0.153720803910918,0.20855614973262,0.375203915171289,Place
4833824,"Highland Park town, Texas",8623,134,149,400,213194,0.522,71,116,3634,634,7669,0,129,583,3484,47,53,16,3435,0,393,146,5855,2478,70.2,66.3,59.4,41.6,2012,283,0.889365650005798,0,0.0149599907224864,0.073524295488809,0.59375,0.332155477031802,0.04,0,0.0455757856894352,0.0589184826472962,0.167336394948335,Place
4833824,"Highland Park town, Texas",8706,179,139,309,191422,0.5456,75,94,3860,552,7757,0,189,568,3453,30,43,36,3453,0,382,134,5931,2448,72,65.2,57.4,41.5,2013,318,0.890994716287618,0,0.0217091660923501,0.0634045485871813,0.59025,0.188679245283019,0.116504854368932,0,0.043877785435332,0.0547385620915033,0.164494642339994,Place
4833824,"Highland Park town, Texas",8796,158,143,276,192946,0.5486,67,114,3827,579,7812,0,199,626,3414,32,58,27,3516,0,431,140,5974,2512,70.5,63.2,63.6,40.2,2014,301,0.888130968622101,0,0.0226239199636198,0.0658253751705321,0.59375,0.212624584717608,0.0978260869565217,0,0.0489995452478399,0.0557324840764331,0.183362624487405,Place
4833824,"Highland Park town, Texas",8916,206,160,264,183594,0.5428,55,90,3917,584,7846,0,194,581,3497,37,52,44,3768,0,387,103,6189,2351,73.3,72.8,73.3,66.8,2015,366,0.879991027366532,0,0.0217586361597129,0.0655002243158367,0.7155,0.202185792349727,0.166666666666667,0,0.0434051144010767,0.04381114419396,0.166142407778096,Place
4833824,"Highland Park town, Texas",8986,177,123,332,189485,0.558,53,59,3942,488,8014,0,216,542,3501,33,31,37,3680,22,421,136,6200,2473,69.3,68.6,72.2,66.4,2016,300,0.891831738259515,0,0.0240373914978856,0.0543066993100378,0.69125,0.22,0.11144578313253,0.00597826086956522,0.0468506565768974,0.0549939344925192,0.154812910596972,Place
4833824,"Highland Park town, Texas",9071,189,94,322,200208,0.5625,11,65,3987,338,8212,16,317,617,3570,37,20,38,3824,21,282,56,6373,2415,79.2,70.4,74.7,68.1,2017,283,0.905302612721861,0.00176386285966266,0.0349465329070665,0.0372616029103737,0.731,0.261484098939929,0.118012422360248,0.00549163179916318,0.0310880829015544,0.0231884057971015,0.172829131652661,Place
4833824,"Highland Park town, Texas",9145,145,123,290,207019,0.5526,6,65,4013,347,8313,26,302,614,3623,36,19,16,3918,22,249,27,6491,2386,87.2,77.6,70.2,69.3,2018,268,0.909021323127392,0.002843083652269,0.0330235101148168,0.037944231820667,0.76075,0.26865671641791,0.0551724137931035,0.00561510974987238,0.0272279934390377,0.0113160100586756,0.169472812586254,Place
4833824,"Highland Park town, Texas",9168,213,118,320,211136,0.5558,18,49,4038,248,8157,28,522,621,3656,52,7,4,3877,22,210,14,6458,2379,94,86.5,66.7,71.5,2019,331,0.889725130890052,0.00305410122164049,0.0569371727748691,0.0270506108202443,0.79675,0.314199395770393,0.0125,0.00567449058550426,0.0229057591623037,0.0058848255569567,0.169857768052516,Place
4826604,"Forney city, Texas",14692,409,496,655,82606,0.3565,391,2257,2069,2411,10288,1404,33,674,4760,130,63,0,7160,34,989,344,8780,4999,85.6,87.6,60.3,34.2,2012,905,0.700245031309556,0.0955622107269262,0.00224612033759869,0.164102913150014,0.66925,0.287292817679558,0,0.00474860335195531,0.0673155458753063,0.0688137627525505,0.141596638655462,Place
4826604,"Forney city, Texas",15356,547,479,747,77121,0.3553,392,2342,2274,2549,10805,1288,82,708,4920,202,105,42,7417,12,992,379,9204,5115,84.2,84.5,61.8,29.9,2013,1026,0.703633758791352,0.083876009377442,0.0053399322740297,0.165993748371972,0.651,0.393762183235867,0.0562248995983936,0.00161790481326682,0.0646001562907007,0.0740957966764418,0.14390243902439,Place
4826604,"Forney city, Texas",16017,458,612,726,72681,0.3571,411,2305,2448,2863,11436,1026,52,701,5081,150,134,50,7391,0,1328,634,9582,5350,82,81.7,64.2,26.2,2014,1070,0.713991384154336,0.0640569395017794,0.0032465505400512,0.178747580695511,0.63525,0.280373831775701,0.068870523415978,0,0.082911906099769,0.118504672897196,0.137964967526078,Place
