GEOID,NAME,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019
48085030509,"Census Tract 305.09, Collin County, Texas",Tract,2403,2339,2516,2420,2610,2761,2828,2817,117625,104808,124792,125357,115217,119013,120625,122964,0.3285,0.31,0.277,0.3098,0.2832,0.3254,0.3301,0.3375,735,675,732,475,719,759,844,829,13,16,11,0,22,78,98,106,0,0,0,0,0,15,19,17,0.00540990428630878,0.00684053014108593,0.00437201907790143,0,0.00842911877394636,0.0282506338283231,0.0346534653465347,0.0376286829960951,0,0,0,0,0,0.0197628458498024,0.0225118483412322,0.0205066344993969
48085030510,"Census Tract 305.10, Collin County, Texas",Tract,2777,3040,2998,3025,3241,3285,3363,3455,97615,94274,97837,96685,95580,92794,95000,105968,0.2568,0.2836,0.2909,0.2899,0.3171,0.3792,0.3874,0.3858,778,903,950,921,1024,1047,1021,938,56,117,157,139,151,222,191,190,18,32,50,46,43,106,86,77,0.0201656463809867,0.0384868421052632,0.052368245496998,0.0459504132231405,0.0465905584696082,0.0675799086757991,0.0567945286946179,0.0549927641099855,0.0231362467866324,0.035437430786268,0.0526315789473684,0.0499457111834962,0.0419921875,0.101241642788921,0.0842311459353575,0.082089552238806
48085030511,"Census Tract 305.11, Collin County, Texas",Tract,4834,4872,5147,5414,5844,7431,10622,12065,92273,104167,111113,115219,117469,138750,153824,158782,0.2742,0.3103,0.3395,0.3438,0.3336,0.3287,0.3283,0.3354,1496,1518,1641,1750,1895,2503,3867,4380,245,195,182,166,91,120,283,317,80,51,59,46,41,36,84,93,0.0506826644600745,0.0400246305418719,0.0353604041189042,0.0306612486147026,0.0155715263518138,0.0161485668146952,0.0266428167953305,0.0262743472855367,0.053475935828877,0.033596837944664,0.0359536867763559,0.0262857142857143,0.0216358839050132,0.0143827407111466,0.021722265321955,0.0212328767123288
48085030512,"Census Tract 305.12, Collin County, Texas",Tract,4413,4463,4321,4659,4985,5137,4922,5238,157813,147333,133979,150074,154792,170969,179909,183026,0.3049,0.3158,0.2968,0.2778,0.2867,0.2603,0.2687,0.2776,1877,1955,1806,2002,2057,2024,1882,1922,44,43,36,35,25,30,0,0,13,14,17,16,12,15,0,0,0.00997054158169046,0.00963477481514676,0.00833140476741495,0.00751234170422838,0.00501504513540622,0.0058399844267082,0,0,0.00692594565796484,0.0071611253196931,0.00941306755260244,0.00799200799200799,0.00583373845405931,0.00741106719367589,0,0
48085030513,"Census Tract 305.13, Collin County, Texas",Tract,3948,5137,6460,7462,7770,9164,9977,13098,86845,76767,73825,72871,74211,75663,78690,80662,0.4063,0.3818,0.3732,0.3885,0.3639,0.3823,0.3911,0.4081,980,1447,1859,1951,2016,2300,2476,3102,297,364,385,237,234,256,239,369,67,79,87,28,55,63,61,51,0.0752279635258359,0.0708584777107261,0.0595975232198143,0.0317609220048244,0.0301158301158301,0.0279353993889131,0.0239550967224617,0.0281722400366468,0.0683673469387755,0.0545957152729786,0.0467993544916622,0.0143516145566376,0.027281746031746,0.0273913043478261,0.0246365105008078,0.0164410058027079
48085030514,"Census Tract 305.14, Collin County, Texas",Tract,6942,6919,6890,7321,7361,7666,7778,7454,85262,83807,91377,91250,77768,82650,85032,86129,0.333,0.3432,0.3617,0.3659,0.3641,0.3752,0.391,0.3641,2250,2299,2265,2405,2261,2328,2402,2021,195,200,71,99,159,198,289,211,49,45,19,40,49,56,104,55,0.0280898876404494,0.0289059112588524,0.0103047895500726,0.0135227427947002,0.0216003260426572,0.0258283328985129,0.0371560812548213,0.0283069492889724,0.0217777777777778,0.019573727707699,0.00838852097130243,0.0166320166320166,0.021671826625387,0.0240549828178694,0.0432972522897585,0.0272142503711034
48085030515,"Census Tract 305.15, Collin County, Texas",Tract,6529,6567,6668,6587,6674,6793,6539,6339,100897,85208,87207,86993,87326,96471,102222,101283,0.2624,0.295,0.2962,0.3192,0.3274,0.3412,0.3573,0.368,2263,2299,2226,2032,2183,2229,1923,1845,395,532,361,446,436,404,276,263,109,179,59,68,197,164,96,139,0.0604993107673457,0.0810111161869956,0.0541391721655669,0.0677091240321846,0.0653281390470483,0.0594729868982776,0.0422082887291635,0.0414891938791608,0.0481661511268228,0.0778599391039583,0.0265049415992812,0.0334645669291339,0.0902427851580394,0.0735755944369673,0.0499219968798752,0.0753387533875339
48085030516,"Census Tract 305.16, Collin County, Texas",Tract,5119,5706,5947,6358,6442,6592,6652,7569,76172,84653,84796,86036,98109,100905,106006,111667,0.3839,0.3361,0.3538,0.3577,0.3398,0.3206,0.3155,0.299,1728,2050,2179,2439,2432,2499,2346,2823,809,726,1035,973,403,373,143,147,274,261,393,354,150,211,21,20,0.158038679429576,0.127234490010515,0.17403732974609,0.15303554576911,0.0625582117354859,0.0565837378640777,0.0214972940469032,0.0194213238208482,0.158564814814815,0.127317073170732,0.180357962368059,0.145141451414514,0.0616776315789474,0.0844337735094038,0.00895140664961637,0.00708466170740347
48085030517,"Census Tract 305.17, Collin County, Texas",Tract,5759,5918,6012,6156,6680,6921,7958,9398,108125,103321,106910,105814,104911,107940,100288,96674,0.2692,0.2951,0.3178,0.329,0.3851,0.4039,0.4201,0.4326,2155,2281,2239,2108,2165,2178,2389,2636,44,118,156,234,498,509,499,640,20,26,52,88,184,195,197,204,0.00764021531515888,0.0199391686380534,0.0259481037924152,0.0380116959064327,0.0745508982035928,0.0735442855078746,0.0627041970344308,0.0680995956586508,0.00928074245939675,0.0113985094256905,0.0232246538633318,0.0417457305502846,0.0849884526558891,0.0895316804407714,0.0824612808706572,0.0773899848254932
48085030518,"Census Tract 305.18, Collin County, Texas",Tract,1803,2060,2608,3105,4093,4133,6121,7379,132163,134911,155667,149167,156429,167788,167139,167045,0.217,0.2547,0.2754,0.2659,0.2707,0.2653,0.2743,0.2723,747,862,1087,1271,1673,1597,2355,2800,18,12,6,14,20,37,99,75,6,6,6,8,8,6,39,18,0.00998336106489185,0.0058252427184466,0.00230061349693252,0.00450885668276973,0.00488639139995114,0.00895233486571498,0.0161738278059141,0.010163978858924,0.00803212851405622,0.00696055684454756,0.00551977920883165,0.00629425649095201,0.00478182904961148,0.00375704445835942,0.0165605095541401,0.00642857142857143
