GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48085031314,"Census Tract 313.14, Collin County, Texas",2133,114000,0.3311,630,63,0,2012,0.029535864978903,0,Tract
48085031315,"Census Tract 313.15, Collin County, Texas",16519,85553,0.3297,5867,1183,541,2012,0.0716145045099582,0.0922106698483041,Tract
48085031316,"Census Tract 313.16, Collin County, Texas",6384,128534,0.3006,2211,193,60,2012,0.0302318295739348,0.0271370420624152,Tract
48085031317,"Census Tract 313.17, Collin County, Texas",7774,99141,0.2984,2430,216,72,2012,0.0277849241059943,0.0296296296296296,Tract
48085031405,"Census Tract 314.05, Collin County, Texas",17014,155496,0.3157,5971,256,78,2012,0.0150464323498296,0.0130631385027634,Tract
48085031406,"Census Tract 314.06, Collin County, Texas",16580,111038,0.3683,5799,1206,529,2012,0.0727382388419783,0.0912226245904466,Tract
48085031407,"Census Tract 314.07, Collin County, Texas",7875,107426,0.4185,1896,284,72,2012,0.0360634920634921,0.0379746835443038,Tract
48085031408,"Census Tract 314.08, Collin County, Texas",3407,110766,0.3288,930,283,122,2012,0.0830642794247138,0.131182795698925,Tract
48085031409,"Census Tract 314.09, Collin County, Texas",10305,101322,0.3257,3393,321,181,2012,0.0311499272197962,0.0533451223106396,Tract
48085031410,"Census Tract 314.10, Collin County, Texas",8572,87800,0.3263,2272,470,180,2012,0.0548296780214652,0.0792253521126761,Tract
48085031411,"Census Tract 314.11, Collin County, Texas",5158,112241,0.3217,1934,57,12,2012,0.0110507948817371,0.0062047569803516,Tract
48085031504,"Census Tract 315.04, Collin County, Texas",6339,89382,0.3308,1626,298,134,2012,0.0470105694904559,0.0824108241082411,Tract
48085031505,"Census Tract 315.05, Collin County, Texas",8058,127755,0.3648,2609,375,30,2012,0.0465376023827252,0.0114986584898429,Tract
48085031506,"Census Tract 315.06, Collin County, Texas",7986,51084,0.342,2282,821,220,2012,0.102804908590033,0.0964066608238387,Tract
48085031507,"Census Tract 315.07, Collin County, Texas",3984,64211,0.4817,1146,304,117,2012,0.0763052208835341,0.102094240837696,Tract
48085031508,"Census Tract 315.08, Collin County, Texas",5461,74777,0.3803,1228,272,75,2012,0.0498077275224318,0.0610749185667752,Tract
48085031611,"Census Tract 316.11, Collin County, Texas",3601,64850,0.3273,960,580,343,2012,0.161066370452652,0.357291666666667,Tract
48085031612,"Census Tract 316.12, Collin County, Texas",6557,94306,0.4057,1727,272,109,2012,0.0414823852371511,0.0631152287203243,Tract
48085031613,"Census Tract 316.13, Collin County, Texas",5351,103162,0.3323,1106,201,82,2012,0.0375630723229303,0.0741410488245931,Tract
48085031621,"Census Tract 316.21, Collin County, Texas",5509,79055,0.3939,799,463,67,2012,0.0840442911599201,0.083854818523154,Tract
48085031622,"Census Tract 316.22, Collin County, Texas",5382,93294,0.4081,1084,218,29,2012,0.0405053883314753,0.0267527675276753,Tract
48085031623,"Census Tract 316.23, Collin County, Texas",3105,56350,0.3976,748,148,48,2012,0.0476650563607085,0.0641711229946524,Tract
48085031624,"Census Tract 316.24, Collin County, Texas",3724,34608,0.4626,990,1081,414,2012,0.290279269602578,0.418181818181818,Tract
48085031625,"Census Tract 316.25, Collin County, Texas",4208,92113,0.3496,731,81,0,2012,0.0192490494296578,0,Tract
48085031626,"Census Tract 316.26, Collin County, Texas",2480,114479,0.3275,551,116,22,2012,0.0467741935483871,0.0399274047186933,Tract
48085031627,"Census Tract 316.27, Collin County, Texas",5047,88948,0.3534,1133,223,75,2012,0.0441846641569249,0.0661959399823478,Tract
48085031628,"Census Tract 316.28, Collin County, Texas",3616,62250,0.4084,980,114,0,2012,0.0315265486725664,0,Tract
48085031629,"Census Tract 316.29, Collin County, Texas",3406,56506,0.4398,1030,565,203,2012,0.165883734586025,0.197087378640777,Tract
48085031630,"Census Tract 316.30, Collin County, Texas",4306,105591,0.3259,1024,239,51,2012,0.0555039479795634,0.0498046875,Tract
48085031631,"Census Tract 316.31, Collin County, Texas",4690,67225,0.3935,1259,711,296,2012,0.151599147121535,0.235107227958697,Tract
48085031632,"Census Tract 316.32, Collin County, Texas",5945,74602,0.4616,1250,517,0,2012,0.0869638351555929,0,Tract
48085031633,"Census Tract 316.33, Collin County, Texas",3644,80938,0.3021,717,96,35,2012,0.026344676180022,0.0488145048814505,Tract
48085031634,"Census Tract 316.34, Collin County, Texas",3059,59643,0.4033,836,431,130,2012,0.140895717554756,0.155502392344498,Tract
48085031635,"Census Tract 316.35, Collin County, Texas",4183,51568,0.3847,1207,341,46,2012,0.0815204398756873,0.0381110190555095,Tract
48085031636,"Census Tract 316.36, Collin County, Texas",6433,82165,0.336,1467,202,26,2012,0.0314005907041816,0.0177232447171098,Tract
48085031637,"Census Tract 316.37, Collin County, Texas",6998,149265,0.3525,1984,22,0,2012,0.00314375535867391,0,Tract
48085031638,"Census Tract 316.38, Collin County, Texas",7274,138631,0.3048,2544,295,200,2012,0.0405554028045092,0.0786163522012579,Tract
48085031639,"Census Tract 316.39, Collin County, Texas",5898,97639,0.3334,1818,195,35,2012,0.0330620549338759,0.0192519251925193,Tract
48085031640,"Census Tract 316.40, Collin County, Texas",7066,73308,0.4323,1888,649,310,2012,0.0918482875742995,0.164194915254237,Tract
48085031641,"Census Tract 316.41, Collin County, Texas",6632,128015,0.2977,2324,147,63,2012,0.0221652593486128,0.0271084337349398,Tract
48085031642,"Census Tract 316.42, Collin County, Texas",4650,108800,0.3788,1235,125,0,2012,0.0268817204301075,0,Tract
