GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
48439,"Tarrant County, Texas",1914526,91018,90561,60275,58711,0.4636,147001,236502,314580,528560,954181,288833,93914,263251,673737,30841,26513,6279,911546,5412,283264,111173,1210423,516535,76,76.8,79.2,77.5,2015,181579,0.498390202065681,0.150863973641518,0.0490533949395307,0.276078778768217,0.77375,0.339697872551341,0.10417254251348,0.00593716608925935,0.147955159658318,0.215228396914052,0.390732585563803,County
48085,"Collin County, Texas",886633,36356,34173,25207,86188,0.4316,28338,69235,254706,132845,532872,80357,114145,106802,314918,11158,9763,2526,452343,5022,62651,20957,574718,239993,80.4,80.2,82.6,82.5,2016,70529,0.601006278809835,0.0906316367651554,0.128739850648464,0.14983087703706,0.81425,0.31640885309589,0.100210259055024,0.0111021945735869,0.0706617055760388,0.0873233802652577,0.339142252903931,County
48113,"Dallas County, Texas",2513054,124834,121387,79506,51411,0.5034,295308,299817,402654,987849,774653,554464,144440,442258,894542,42568,34409,10143,1199288,34509,461045,189513,1590088,670289,78,78.2,77.8,75.9,2016,246221,0.308251633271708,0.220633539908016,0.0574758839244998,0.393087056625126,0.77475,0.345770669439244,0.127575277337559,0.0287745729132619,0.183460045028877,0.282733268784062,0.49439601494396,County
48121,"Denton County, Texas",754650,35677,37179,21338,76678,0.4362,31156,75293,182287,142619,464580,66503,56102,95401,265790,9734,8239,2102,394108,4183,64613,19515,484647,194444,79.8,82.3,83.6,83.1,2016,72856,0.615623136553369,0.0881242960312728,0.0743417478301199,0.188986947591599,0.822,0.267212034698584,0.0985097010029056,0.0106138418910552,0.0856198237593586,0.100363086544198,0.358933744685654,County
48139,"Ellis County, Texas",160225,7623,7175,4465,64382,0.4118,11938,22854,18759,40134,101530,14506,1050,14956,53803,2618,2226,478,74611,341,17458,6547,101769,43085,75.3,77.3,79.4,80.4,2016,14798,0.633671399594321,0.0905351848962396,0.00655328444375098,0.250485255110002,0.781,0.353831598864711,0.107054871220605,0.00457037166101513,0.1089592760181,0.151955436927005,0.277977064475959,County
48251,"Johnson County, Texas",157544,7156,6542,4337,59095,0.4125,12180,26866,14496,31135,117123,3919,1152,14190,53880,3126,2128,499,69925,159,18706,6968,102285,41266,72.2,69.6,77.5,77,2016,13698,0.743430406743513,0.0248755903112781,0.00731224292895953,0.197627329507947,0.74075,0.456416995181778,0.115056490661748,0.002273864855202,0.11873508353222,0.168855716570542,0.263363028953229,County
48257,"Kaufman County, Texas",111830,4608,4406,3300,60179,0.412,8251,18750,11854,21428,75630,11127,1117,8464,35739,1790,1337,495,50179,178,15160,5684,71729,30650,75,76.1,79.7,75.2,2016,9014,0.676294375391219,0.0994992399177323,0.00998837521237593,0.191612268622016,0.765,0.39715997337475,0.15,0.00354730066362423,0.135562907985335,0.185448613376835,0.236828114944458,County
48397,"Rockwall County, Texas",88010,3562,3242,2109,89161,0.4101,3733,9864,18081,14720,64065,4821,2115,5829,29392,1568,1029,329,42009,255,5380,1846,56673,24444,77.8,83.6,81.2,79.4,2016,6804,0.727928644472219,0.0547778661515737,0.024031360072719,0.167253721168049,0.805,0.460905349794239,0.155998103366524,0.00607012782975077,0.0611294171116919,0.0755195549009982,0.198319270549809,County
48439,"Tarrant County, Texas",1947529,92359,91754,59811,60373,0.4627,148690,240374,323334,541947,957988,298394,97150,270540,682967,31443,27147,6192,934029,5417,275899,107878,1235550,522210,76.6,78.2,79.6,78,2016,184113,0.491899222039826,0.153216717183672,0.0498837244528836,0.278274161771147,0.781,0.3415619755259,0.103526107237799,0.00579960579382439,0.141666183147979,0.20657972846173,0.39612455653055,County
48085,"Collin County, Texas",914075,37816,35528,25513,90124,0.4326,29192,70553,265805,137871,540387,84259,123495,111349,323905,11612,10416,2379,468951,5295,62439,20103,594927,245804,81.2,79.4,82.6,83,2017,73344,0.591184530809835,0.0921795257500752,0.135103793452397,0.150831168120778,0.8155,0.316644851657941,0.0932465801748128,0.011291158351299,0.0683083992013785,0.0817846739678769,0.343770550006947,County
