GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
75226,ZCTA5 75226,113,261,62,473,431,632,1106,1000,470,149,1225,1305,0,34,32,1736,69,2043,83.7,57,71.5,58.5,Zip,2811,,,,39753,,,,0.3535,,,,372,,,,667,,,,36,,,,0.237282106012095,,,,0.0967741935483871,,,,0.938697318007663,,,,0.0397465437788018,,,,0.516129032258065,,,,0,,,,0.67675,,,,0.393454286730701,,,,0.0530060476698684,,,,0.167200284596229,,,,0.355745286374956,,,,374,,,
75227,ZCTA5 75227,3479,3141,2246,10681,7347,2668,32972,5322,16823,537,6798,16859,1123,923,217,22847,1023,31164,71.8,74.9,51.4,23.2,Zip,56150,,,,36491,,,,0.4008,,,,18300,,,,13685,,,,6456,,,,0.243722172751558,,,,0.352786885245902,,,,0.403226763153212,,,,0.0447761194029851,,,,0.0966162065894924,,,,0.339274924471299,,,,0.55325,,,,0.587212822796082,,,,0.00956366874443455,,,,0.299608192341941,,,,0.0947818343722173,,,,6620,,,
75228,ZCTA5 75228,3296,3440,2692,12131,8900,5065,33099,16976,14623,2640,12615,23717,889,1238,291,29214,1282,41202,76,70.1,57,20.1,Zip,68605,,,,36834,,,,0.4364,,,,20434,,,,19327,,,,8269,,,,0.281714160775454,,,,0.40466868943917,,,,0.531896951553738,,,,0.0438830697610735,,,,0.108098068350669,,,,0.26395486935867,,,,0.558,,,,0.482457546826033,,,,0.0384811602652868,,,,0.213147729757306,,,,0.24744552146345,,,,6736,,,
75229,ZCTA5 75229,1581,1170,1153,4412,2493,7590,13571,17189,919,957,3191,11016,280,309,138,16170,309,21595,79.3,76.3,67.9,42.3,Zip,32820,,,,70227,,,,0.5305,,,,8382,,,,4691,,,,1834,,,,0.142931139549055,,,,0.218802195180148,,,,0.289669571532317,,,,0.0191094619666048,,,,0.11968777103209,,,,0.203562340966921,,,,0.6645,,,,0.413497867154174,,,,0.0291590493601463,,,,0.0280012187690433,,,,0.523735527117611,,,,2751,,,
75230,ZCTA5 75230,763,852,618,1369,1597,8306,4929,18770,1726,913,4615,12164,159,123,4,12408,272,19501,74.3,74.6,66.9,41.8,Zip,26717,,,,67723,,,,0.6041,,,,5596,,,,2845,,,,769,,,,0.106486506718569,,,,0.137419585418156,,,,0.379398224268333,,,,0.0219213410702772,,,,0.00647249190938511,,,,0.196904024767802,,,,0.644,,,,0.184489276490624,,,,0.0341729984653966,,,,0.0646030617210016,,,,0.702548938877868,,,,1615,,,
75231,ZCTA5 75231,1906,1805,1642,4753,4451,5091,13634,10681,7782,1578,10858,13912,497,496,79,16054,1496,20964,73.7,73.8,60.5,29.7,Zip,34306,,,,33524,,,,0.5601,,,,9561,,,,10088,,,,4309,,,,0.29405934821897,,,,0.450685074782973,,,,0.780477285796435,,,,0.0931854989410739,,,,0.0481120584652862,,,,0.267852330908111,,,,0.59425,,,,0.397423191278494,,,,0.0459977846440856,,,,0.226840785868361,,,,0.311344954235411,,,,3711,,,
75232,ZCTA5 75232,1643,1278,583,2548,4553,1768,5415,1492,19247,22,3267,9461,569,587,55,10098,757,16977,70.6,70.2,54.4,20.4,Zip,26426,,,,38119,,,,0.4064,,,,6528,,,,5968,,,,2482,,,,0.225838189661697,,,,0.380208333333333,,,,0.345312334848325,,,,0.074965339671222,,,,0.0943396226415094,,,,0.389592605272167,,,,0.539,,,,0.204911829259063,,,,0.000832513433739499,,,,0.728335729962915,,,,0.0564595474154242,,,,2921,,,
75233,ZCTA5 75233,845,677,367,2394,1706,1130,7843,1824,4775,16,1744,4313,187,158,58,5928,205,8915,74.7,77.5,46.8,26.1,Zip,14633,,,,41711,,,,0.4348,,,,4172,,,,3156,,,,1283,,,,0.215676894690084,,,,0.307526366251198,,,,0.404358914908416,,,,0.0345816464237517,,,,0.158038147138965,,,,0.245729303547963,,,,0.56275,,,,0.535980318458279,,,,0.00109341898448712,,,,0.326317228182874,,,,0.124649764231531,,,,1522,,,
75234,ZCTA5 75234,1435,1244,880,3812,3591,3887,12826,13513,1072,792,3264,10044,414,441,187,13496,281,18657,80.6,77.4,65,29.2,Zip,28726,,,,54335,,,,0.4425,,,,7359,,,,3670,,,,1611,,,,0.127758824758059,,,,0.218915613534448,,,,0.324970131421744,,,,0.0208209839952579,,,,0.2125,,,,0.309070548712206,,,,0.6305,,,,0.44649446494465,,,,0.0275708417461533,,,,0.0373181090301469,,,,0.470410081459305,,,,2679,,,
75235,ZCTA5 75235,923,1078,649,3235,2675,2516,12741,2678,1863,1245,4113,6403,240,151,79,8892,636,11704,77.5,68.4,61.4,31.6,Zip,19334,,,,39169,,,,0.422,,,,5465,,,,6058,,,,2618,,,,0.313334022964725,,,,0.479048490393413,,,,0.642355146025301,,,,0.0715249662618084,,,,0.121725731895223,,,,0.239880059970015,,,,0.59725,,,,0.658994517430434,,,,0.0643943312299576,,,,0.0963587462501293,,,,0.138512465087411,,,,2001,,,
75236,ZCTA5 75236,786,594,579,2173,2191,1092,6110,2384,6074,460,3184,5282,125,228,64,6448,70,8407,80.8,77,38,12.3,Zip,15081,,,,34018,,,,0.3997,,,,5255,,,,3220,,,,1586,,,,0.213513692725947,,,,0.301807802093245,,,,0.602801968951155,,,,0.0108560794044665,,,,0.110535405872193,,,,0.181159420289855,,,,0.52025,,,,0.405145547377495,,,,0.0305019561037067,,,,0.402758437769379,,,,0.158079702937471,,,,1380,,,
75237,ZCTA5 75237,1192,1408,757,1420,2712,1164,2130,900,14541,91,6293,7484,504,494,96,7482,585,9629,69.4,64.9,47.4,20.7,Zip,17952,,,,28835,,,,0.3995,,,,5627,,,,5053,,,,2243,,,,0.281472816399287,,,,0.398613826195131,,,,0.840860502405131,,,,0.0781876503608661,,,,0.126816380449141,,,,0.387692307692308,,,,0.506,,,,0.118649732620321,,,,0.00506907308377897,,,,0.809993315508021,,,,0.0501336898395722,,,,2600,,,
75238,ZCTA5 75238,1064,1111,1483,2593,2927,7129,9142,14878,4859,697,5630,11819,407,340,159,15184,489,19866,85.3,75.5,70.4,26.3,Zip,29853,,,,54192,,,,0.5128,,,,7812,,,,4415,,,,1996,,,,0.147891334204268,,,,0.255504352278546,,,,0.476351637194348,,,,0.0322049525816649,,,,0.107215104517869,,,,0.374252873563218,,,,0.64375,,,,0.30623387934211,,,,0.0233477372458379,,,,0.162764211302047,,,,0.498375372659364,,,,2175,,,
75240,ZCTA5 75240,1263,1264,718,4852,3072,3345,15589,6425,2615,725,7252,9706,307,285,48,12734,900,16027,77.7,82.9,67,32.5,Zip,25813,,,,36992,,,,0.5256,,,,7184,,,,6850,,,,3358,,,,0.265370162321311,,,,0.467427616926503,,,,0.747166701009685,,,,0.0706769279095335,,,,0.0668523676880223,,,,0.242975860704393,,,,0.65025,,,,0.603920505171813,,,,0.0280866230194088,,,,0.101305543718281,,,,0.248905590206485,,,,2527,,,
75241,ZCTA5 75241,1447,1320,1053,2265,6097,1308,2192,600,25185,15,3303,9557,697,442,193,8718,471,17738,57.3,53.4,49.2,17.3,Zip,28162,,,,28896,,,,0.4712,,,,7300,,,,8214,,,,3801,,,,0.291669625736809,,,,0.520684931506849,,,,0.345610547242859,,,,0.0540261527873366,,,,0.183285849952517,,,,0.503794723527286,,,,0.443,,,,0.0778353810098715,,,,0.000532632625523756,,,,0.894290178254386,,,,0.0213053050209502,,,,2767,,,
75243,ZCTA5 75243,2652,3866,2273,5418,7167,7953,13688,14449,22775,3961,16348,23162,983,1249,358,25860,1820,34237,74.5,68.9,65.2,31.8,Zip,55747,,,,36710,,,,0.5113,,,,14817,,,,13638,,,,5183,,,,0.244640967226936,,,,0.349800904366606,,,,0.705811242552457,,,,0.0703789636504254,,,,0.157501099868016,,,,0.301626265725683,,,,0.601,,,,0.245537876477658,,,,0.0710531508421978,,,,0.408542163703876,,,,0.259188835273647,,,,6518,,,
75244,ZCTA5 75244,318,486,472,1037,1161,4227,3257,7592,1103,984,2741,5707,129,147,92,6842,67,9571,79.3,77.4,65.5,38.4,Zip,13247,,,,68617,,,,0.486,,,,2872,,,,1507,,,,532,,,,0.113761606401449,,,,0.185236768802228,,,,0.48028736639215,,,,0.00979245834551301,,,,0.194915254237288,,,,0.32089552238806,,,,0.6515,,,,0.24586698875217,,,,0.0742809692760625,,,,0.0832641352759115,,,,0.573110893032385,,,,804,,,
75246,ZCTA5 75246,234,146,107,712,183,441,1726,497,672,15,1001,1244,47,24,0,1701,257,1990,83.2,65.6,75.8,40,Zip,3022,,,,36538,,,,0.4573,,,,652,,,,936,,,,378,,,,0.309728656518862,,,,0.579754601226994,,,,0.804662379421222,,,,0.15108759553204,,,,0,,,,0.247368421052632,,,,0.6615,,,,0.57114493712773,,,,0.00496360026472535,,,,0.222369291859696,,,,0.164460622104567,,,,380,,,
75247,ZCTA5 75247,0,0,0,98,122,16,14,170,264,0,156,156,0,0,0,56,22,509,9.5,4.7,17.5,23.9,Zip,509,,,,22606,,,,0.3044,,,,0,,,,297,,,,0,,,,0.583497053045187,,,,,,,,1,,,,0.392857142857143,,,,,,,,,,,,0.139,,,,0.0275049115913556,,,,0,,,,0.518664047151277,,,,0.333988212180747,,,,0,,,
75248,ZCTA5 75248,1406,1065,789,1057,2633,11869,5145,24605,3093,1480,6683,15725,490,330,37,19343,517,25934,85.3,79.2,69.2,42.3,Zip,34911,,,,72797,,,,0.4863,,,,6496,,,,2863,,,,734,,,,0.0820085359915213,,,,0.112992610837438,,,,0.424992050874404,,,,0.0267280153026935,,,,0.046894803548796,,,,0.396600566572238,,,,0.69,,,,0.147374752943198,,,,0.0423935149379852,,,,0.088596717367019,,,,0.704792185844003,,,,2471,,,
75249,ZCTA5 75249,659,468,484,833,1672,1870,4845,1859,6523,419,584,4331,171,147,107,5981,62,7878,76,79.7,66.1,23.8,Zip,13684,,,,58405,,,,0.3365,,,,4656,,,,1898,,,,1098,,,,0.138702133878983,,,,0.235824742268041,,,,0.134841837912722,,,,0.0103661595050995,,,,0.221074380165289,,,,0.303460514640639,,,,0.614,,,,0.354063139432914,,,,0.0306197018415668,,,,0.476688102893891,,,,0.135852090032154,,,,1127,,,
75251,ZCTA5 75251,206,123,69,117,81,1344,325,1929,142,402,1639,1639,0,0,0,2017,122,2268,88.4,89.2,78.4,8.2,Zip,2910,,,,66016,,,,0.3775,,,,313,,,,204,,,,0,,,,0.0701030927835052,,,,0,,,,1,,,,0.060485870104115,,,,0,,,,0,,,,0.6605,,,,0.111683848797251,,,,0.138144329896907,,,,0.0487972508591065,,,,0.662886597938144,,,,329,,,
75252,ZCTA5 75252,1115,1105,593,951,1736,8530,3780,14349,2842,3309,6747,12080,233,222,2,14061,308,18127,79.3,83.4,71.4,42.7,Zip,25129,,,,57475,,,,0.5363,,,,4782,,,,3465,,,,1006,,,,0.137888495363922,,,,0.210372229192806,,,,0.558526490066225,,,,0.0219045587084845,,,,0.00337268128161889,,,,0.20990990990991,,,,0.692,,,,0.150423813124279,,,,0.131680528473079,,,,0.113096422460106,,,,0.571013569978909,,,,2220,,,
75253,ZCTA5 75253,814,803,744,3669,2722,514,9829,5083,1847,2,1742,5130,147,174,43,6481,17,9181,67.1,72.3,56.8,14.4,Zip,16873,,,,31547,,,,0.4224,,,,6075,,,,4935,,,,2443,,,,0.292479108635098,,,,0.402139917695473,,,,0.339571150097466,,,,0.00262305199814843,,,,0.0577956989247312,,,,0.181818181818182,,,,0.5265,,,,0.582528299650329,,,,0.000118532566822735,,,,0.109464825460795,,,,0.30125051857998,,,,1617,,,
75254,ZCTA5 75254,1089,1657,930,2395,2301,6071,8331,9157,4842,1498,9108,11417,313,372,127,14492,512,16270,83.8,83.7,63.2,49.9,Zip,24097,,,,44394,,,,0.4763,,,,5081,,,,3925,,,,1328,,,,0.162883346474665,,,,0.261365872859673,,,,0.797757729701323,,,,0.0353298371515319,,,,0.136559139784946,,,,0.227967953386744,,,,0.7015,,,,0.345727683944059,,,,0.0621654147819231,,,,0.20093787608416,,,,0.380005809851849,,,,2746,,,
75270,ZCTA5 75270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Zip,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
75287,ZCTA5 75287,2834,3313,1178,2251,5098,14070,9619,23977,10895,3980,20224,26191,988,836,109,31749,529,34584,85.5,81.1,69.3,42.5,Zip,49403,,,,47784,,,,0.4837,,,,8663,,,,6161,,,,1625,,,,0.124709025767666,,,,0.187579360498673,,,,0.772173647436142,,,,0.0166619421084129,,,,0.0925297113752122,,,,0.321457621604035,,,,0.696,,,,0.194704775013663,,,,0.0805619091957978,,,,0.220533166002065,,,,0.485334898690363,,,,6147,,,
75390,ZCTA5 75390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Zip,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
75407,ZCTA5 75407,503,477,305,1210,2696,1338,3201,10023,494,73,952,4896,154,220,30,6703,19,9268,76.9,72.3,69.4,28.5,Zip,14085,,,,55663,,,,0.4083,,,,3819,,,,1671,,,,460,,,,0.11863684771033,,,,0.120450379680545,,,,0.194444444444444,,,,0.00283455169327167,,,,0.0983606557377049,,,,0.314285714285714,,,,0.61775,,,,0.227263045793397,,,,0.00518281860134895,,,,0.0350727724529642,,,,0.71160809371672,,,,980,,,
75409,ZCTA5 75409,434,317,567,1011,1902,1566,2394,8195,890,53,578,3811,150,189,60,5614,0,7403,83.2,69.5,50.7,36.5,Zip,11766,,,,61457,,,,0.3629,,,,3582,,,,1360,,,,701,,,,0.115587285398606,,,,0.19570072585148,,,,0.151666229336132,,,,0,,,,0.105820105820106,,,,0.399467376830892,,,,0.59975,,,,0.203467618561958,,,,0.00450450450450451,,,,0.0756416794152643,,,,0.69649838517763,,,,751,,,
75423,ZCTA5 75423,181,136,92,191,594,282,369,2779,48,0,200,1112,95,41,33,1194,0,2049,74.5,57.7,51,25.6,Zip,3238,,,,51852,,,,0.4353,,,,872,,,,635,,,,205,,,,0.196108709079679,,,,0.235091743119266,,,,0.179856115107914,,,,0,,,,0.358695652173913,,,,0.599369085173502,,,,0.522,,,,0.11395923409512,,,,0,,,,0.0148239654107474,,,,0.858245830759728,,,,317,,,
75424,ZCTA5 75424,88,100,125,172,605,375,231,2826,50,0,214,1132,47,71,15,1323,0,2115,72.6,62.3,53.7,13.7,Zip,3113,,,,50000,,,,0.3965,,,,810,,,,240,,,,61,,,,0.0770960488274976,,,,0.0753086419753087,,,,0.18904593639576,,,,0,,,,0.12,,,,0.5,,,,0.50575,,,,0.0742049469964664,,,,0,,,,0.016061676839062,,,,0.907805974943784,,,,188,,,
75442,ZCTA5 75442,458,584,161,778,1665,752,1717,7381,103,6,780,3140,130,158,12,4469,0,6057,76.9,72.8,62.5,37.7,Zip,9379,,,,57159,,,,0.4,,,,2280,,,,1449,,,,506,,,,0.154494082524789,,,,0.221929824561404,,,,0.248407643312102,,,,0,,,,0.0745341614906832,,,,0.249520153550864,,,,0.62475,,,,0.183068557415503,,,,0.000639727049792089,,,,0.0109819810214309,,,,0.786970892419235,,,,1042,,,
75452,ZCTA5 75452,240,271,120,552,873,325,392,3947,162,0,436,1526,85,70,42,2170,0,2925,74.9,77.6,58.7,29,Zip,4634,,,,48026,,,,0.4395,,,,1198,,,,683,,,,202,,,,0.147388864911524,,,,0.168614357262104,,,,0.285714285714286,,,,0,,,,0.35,,,,0.332681017612524,,,,0.6005,,,,0.0845921450151058,,,,0,,,,0.0349589987052223,,,,0.851747949935261,,,,511,,,
75454,ZCTA5 75454,208,159,203,252,606,987,641,4006,578,0,199,1617,40,16,0,2351,2,3056,78.7,69.5,44.3,28,Zip,5288,,,,83576,,,,0.3417,,,,1841,,,,296,,,,126,,,,0.0559757942511346,,,,0.0684410646387833,,,,0.123067408781694,,,,0.000850701829008932,,,,0,,,,0.217983651226158,,,,0.55125,,,,0.121217851739788,,,,0,,,,0.109304084720121,,,,0.757564296520424,,,,367,,,
75474,ZCTA5 75474,552,526,223,1569,3090,705,935,12963,150,1,977,5510,302,117,65,5778,0,10566,67.2,69.7,49.6,18.8,Zip,14438,,,,46426,,,,0.4443,,,,2594,,,,2566,,,,728,,,,0.177725446737775,,,,0.280647648419429,,,,0.177313974591652,,,,0,,,,0.291479820627803,,,,0.560296846011132,,,,0.51325,,,,0.0647596620030475,,,,6.92616705914947e-05,,,,0.0103892505887242,,,,0.897839035877545,,,,1078,,,
75490,ZCTA5 75490,37,109,48,152,461,169,257,1928,34,4,150,784,8,34,16,976,0,1480,77.4,72,63.4,14.4,Zip,2263,,,,57823,,,,0.4031,,,,624,,,,369,,,,68,,,,0.163057887759611,,,,0.108974358974359,,,,0.191326530612245,,,,0,,,,0.333333333333333,,,,0.10958904109589,,,,0.568,,,,0.113566062748564,,,,0.00176756517896597,,,,0.0150243040212108,,,,0.8519664162616,,,,146,,,
75491,ZCTA5 75491,163,249,107,217,845,511,146,4461,223,6,406,1820,37,98,17,2002,0,3206,73.1,76.3,55.9,22.2,Zip,4884,,,,50896,,,,0.4372,,,,1240,,,,354,,,,112,,,,0.0724815724815725,,,,0.0903225806451613,,,,0.223076923076923,,,,0,,,,0.158878504672897,,,,0.179611650485437,,,,0.56875,,,,0.0298935298935299,,,,0.00122850122850123,,,,0.0456592956592957,,,,0.913390663390663,,,,412,,,
75495,ZCTA5 75495,209,148,202,319,1346,866,847,5829,37,27,387,2632,71,34,12,3133,0,4741,83.8,75.7,53,22.7,Zip,6906,,,,65900,,,,0.404,,,,1801,,,,573,,,,260,,,,0.0829713292788879,,,,0.144364242087729,,,,0.147036474164134,,,,0,,,,0.0594059405940594,,,,0.397759103641457,,,,0.588,,,,0.122646973646105,,,,0.00390964378801043,,,,0.00535766000579207,,,,0.844048653344918,,,,357,,,
76001,ZCTA5 76001,1815,1598,1083,1396,3464,5718,7001,16682,5731,1606,1861,9924,617,280,106,15142,12,18019,82.6,82.7,73.9,22.5,Zip,31533,,,,72866,,,,0.3934,,,,9995,,,,2488,,,,1165,,,,0.0789014683030476,,,,0.11655827913957,,,,0.187525191455058,,,,0.000792497688548408,,,,0.097876269621422,,,,0.361558745971286,,,,0.65425,,,,0.222021374433134,,,,0.050930770938382,,,,0.181746107252719,,,,0.529033076459582,,,,3413,,,
76002,ZCTA5 76002,1529,1285,1358,1535,3207,5635,7227,10814,8885,2958,874,8635,551,606,236,15065,33,17983,78.9,85.2,60.8,21.1,Zip,30600,,,,81005,,,,0.3072,,,,9728,,,,2445,,,,1341,,,,0.0799019607843137,,,,0.137849506578947,,,,0.101215981470759,,,,0.00219050779953535,,,,0.173784977908689,,,,0.391613361762616,,,,0.615,,,,0.236176470588235,,,,0.0966666666666667,,,,0.290359477124183,,,,0.353398692810458,,,,2814,,,
76006,ZCTA5 76006,1393,1519,433,933,2767,5117,4641,9940,7304,1200,8501,11847,449,448,118,14278,147,15731,83.9,88.5,72.5,42.3,Zip,23771,,,,44602,,,,0.4891,,,,5128,,,,3525,,,,1078,,,,0.148289933111775,,,,0.210218408736349,,,,0.717565628429138,,,,0.0102955596021852,,,,0.272517321016166,,,,0.308379120879121,,,,0.718,,,,0.195237894913971,,,,0.0504816793572,,,,0.307265155020824,,,,0.41815657734214,,,,2912,,,
76008,ZCTA5 76008,424,525,305,394,1142,3521,1128,12303,12,223,505,4501,195,172,7,6556,34,8789,75.7,80.2,66.6,30,Zip,13943,,,,101880,,,,0.3795,,,,4163,,,,718,,,,287,,,,0.0514953740228071,,,,0.0689406677876531,,,,0.112197289491224,,,,0.00518608907870653,,,,0.0229508196721311,,,,0.410958904109589,,,,0.63125,,,,0.080900810442516,,,,0.0159936885892563,,,,0.000860646919601234,,,,0.882378254321165,,,,949,,,
76009,ZCTA5 76009,1038,831,697,2362,4154,974,5355,13597,583,65,1461,6503,686,288,122,9098,22,12700,73.5,75.4,56.1,24.9,Zip,19964,,,,53760,,,,0.3711,,,,5362,,,,2613,,,,1140,,,,0.130885594069325,,,,0.212607236105931,,,,0.224665538982008,,,,0.00241811387118048,,,,0.175035868005739,,,,0.734082397003745,,,,0.57475,,,,0.268232819074334,,,,0.00325586054898818,,,,0.0292025646163094,,,,0.681075936686035,,,,1869,,,
76010,ZCTA5 76010,3551,4217,2348,10450,7454,2154,30440,12329,7327,3096,10663,16838,1197,1277,301,22582,35,28357,73.3,73.1,58.6,30.7,Zip,54169,,,,31502,,,,0.4065,,,,17697,,,,17068,,,,7491,,,,0.315087965441489,,,,0.423292083403967,,,,0.633269984558736,,,,0.00154990700557967,,,,0.128194207836457,,,,0.308187435633368,,,,0.58925,,,,0.561945023906663,,,,0.0571544610386014,,,,0.135261865642711,,,,0.227602503276782,,,,7768,,,
76011,ZCTA5 76011,1842,1593,1010,3548,2193,2262,10783,6235,4700,646,6925,9140,370,407,180,10972,0,13040,79.5,73.7,53.1,19.8,Zip,22590,,,,33811,,,,0.4594,,,,6044,,,,6797,,,,2675,,,,0.300885347498893,,,,0.442587690271344,,,,0.757658643326039,,,,0,,,,0.178217821782178,,,,0.215429403202329,,,,0.56525,,,,0.477335104028331,,,,0.0285967242142541,,,,0.208056662239929,,,,0.276007082779991,,,,3435,,,
76012,ZCTA5 76012,924,1051,665,1456,2166,5548,4439,15734,3199,1061,3292,10029,277,308,32,12475,46,17435,77.5,79.4,69.3,34.5,Zip,24962,,,,59458,,,,0.4492,,,,5545,,,,2977,,,,1041,,,,0.119261277141255,,,,0.187736699729486,,,,0.328248080566358,,,,0.003687374749499,,,,0.0481203007518797,,,,0.280506329113924,,,,0.65175,,,,0.17783030205913,,,,0.042504607002644,,,,0.128154795288839,,,,0.6303180834869,,,,1975,,,
76013,ZCTA5 76013,2502,2059,799,1350,3106,6110,3422,21507,3623,2283,6100,13311,636,477,149,15237,64,20867,77.1,79.6,71.2,31.2,Zip,31753,,,,48593,,,,0.478,,,,6259,,,,5972,,,,1390,,,,0.188076717160583,,,,0.222080204505512,,,,0.45826759822703,,,,0.00420030189669883,,,,0.18648310387985,,,,0.278886209164657,,,,0.64775,,,,0.107769344628854,,,,0.0718987182313482,,,,0.11409945516959,,,,0.677321827858785,,,,4561,,,
76014,ZCTA5 76014,1991,2294,1122,4431,4777,2078,13806,7334,8390,4301,5360,10750,568,667,97,14210,13,18532,75.5,72.8,56.4,27.4,Zip,34736,,,,42226,,,,0.3829,,,,11817,,,,7310,,,,3258,,,,0.210444495624136,,,,0.275704493526276,,,,0.498604651162791,,,,0.00091484869809993,,,,0.0864527629233512,,,,0.265110851808635,,,,0.58025,,,,0.397455089820359,,,,0.123819668355597,,,,0.241536158452326,,,,0.211135421464763,,,,4285,,,
76015,ZCTA5 76015,843,1094,315,931,2302,2116,3647,8492,2381,613,3549,6536,388,301,76,8257,14,10218,78.8,78.7,64.1,25.3,Zip,15662,,,,48189,,,,0.4336,,,,3479,,,,2232,,,,774,,,,0.142510535052995,,,,0.22247772348376,,,,0.542992656058752,,,,0.00169553106455129,,,,0.241269841269841,,,,0.400619514713474,,,,0.61725,,,,0.232856595581663,,,,0.0391393180947516,,,,0.152024007151066,,,,0.542204060784063,,,,1937,,,
76016,ZCTA5 76016,1206,1090,654,932,3589,7934,3809,22622,2498,2130,2100,11581,362,253,57,15562,46,22017,81.1,80.2,65.3,32.2,Zip,31559,,,,81576,,,,0.419,,,,7105,,,,1694,,,,669,,,,0.0536772394562565,,,,0.0941590429275158,,,,0.181331491235645,,,,0.00295591826243413,,,,0.0871559633027523,,,,0.315331010452962,,,,0.647,,,,0.120694572071358,,,,0.0674926328464147,,,,0.0791533318546215,,,,0.716816122183846,,,,2296,,,
76017,ZCTA5 76017,1831,1963,1034,1435,5150,8915,6193,25514,7626,2885,4821,16778,563,446,66,23062,28,28732,82.8,81.2,71,27.8,Zip,43245,,,,68543,,,,0.374,,,,10651,,,,3718,,,,1289,,,,0.085975257255174,,,,0.121021500328608,,,,0.287340565025629,,,,0.00121411846327292,,,,0.0638297872340426,,,,0.296784396415393,,,,0.657,,,,0.143207307203145,,,,0.0667129147878367,,,,0.176344086021505,,,,0.589987281766678,,,,3794,,,
76018,ZCTA5 76018,1479,1652,1039,1906,3587,3588,7370,8435,7561,3445,2417,8753,426,522,61,14059,9,15573,83.8,85.7,61.3,23.3,Zip,27253,,,,63450,,,,0.3339,,,,8537,,,,2224,,,,903,,,,0.0816056947858951,,,,0.105774862363828,,,,0.276133896949617,,,,0.000640159328543993,,,,0.0587102983638114,,,,0.272117534334079,,,,0.63525,,,,0.270428943602539,,,,0.126408101860346,,,,0.277437346347191,,,,0.309507210215389,,,,3131,,,
76020,ZCTA5 76020,1120,925,723,2208,4336,2685,2314,24080,170,57,2507,10080,613,392,59,11686,2,18826,72.9,70.1,56.3,19.7,Zip,27284,,,,56944,,,,0.4557,,,,6194,,,,4047,,,,1498,,,,0.148328690807799,,,,0.241846948659994,,,,0.248710317460318,,,,0.000171144959780934,,,,0.0816044260027663,,,,0.599511002444988,,,,0.5475,,,,0.0848116112007037,,,,0.0020891364902507,,,,0.00623075795337927,,,,0.882568538337487,,,,2045,,,
76021,ZCTA5 76021,1204,1490,801,878,3227,7935,3459,25133,2822,1474,6578,14969,315,320,46,19292,78,24432,87.2,84.5,71.1,36.5,Zip,33615,,,,64110,,,,0.4096,,,,6471,,,,2165,,,,662,,,,0.0644057712330805,,,,0.102302580744862,,,,0.439441512459082,,,,0.00404312668463612,,,,0.0574282147315855,,,,0.233853006681515,,,,0.69825,,,,0.102900490852298,,,,0.0438494719619218,,,,0.0839506172839506,,,,0.74767217016213,,,,2694,,,
76022,ZCTA5 76022,635,501,483,456,1686,1831,2127,9626,967,451,2630,5787,157,148,119,6995,26,9369,80.8,78.4,57.9,44.4,Zip,13737,,,,58573,,,,0.3874,,,,3139,,,,1540,,,,588,,,,0.112105991118876,,,,0.187320802803441,,,,0.454466908588215,,,,0.00371694067190851,,,,0.246376811594203,,,,0.276408450704225,,,,0.65375,,,,0.154837300720681,,,,0.0328310402562423,,,,0.0703938268908787,,,,0.700735240591104,,,,1136,,,
