GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
75028,ZCTA5 75028,1774,1482,1104,600,3023,16685,5112,34649,2179,4333,2809,16262,720,385,102,25470,82,31738,85.9,79.8,84,83,Zip,,,,47804,,,,127931,,,,0.3587,,,,12810,,,,1179,,,,318,,,,0.0246632080997406,,,,0.024824355971897,,,,0.17273398106014,,,,0.00321947389085198,,,,0.0923913043478261,,,,0.442260442260442,,,,0.83175,,,,0.106936658020249,,,,0.0906409505480713,,,,0.045581959668647,,,,0.724813823111037,,,,3256
75032,ZCTA5 75032,1470,1244,610,1774,2457,8085,5888,23051,2168,1215,2009,11355,501,291,118,16510,149,21637,76.3,79.2,81.3,86.9,Zip,,,,33080,,,,109080,,,,0.4446,,,,8729,,,,1493,,,,513,,,,0.0451330108827086,,,,0.0587696185130026,,,,0.176926464112726,,,,0.00902483343428225,,,,0.19344262295082,,,,0.369196757553427,,,,0.80925,,,,0.177992744860943,,,,0.0367291414752116,,,,0.0655380894800484,,,,0.696825876662636,,,,2714
75034,ZCTA5 75034,4080,3914,2871,2120,4964,37351,14202,65819,7596,17561,12589,38172,1173,923,367,53717,171,69175,78.5,82.2,81.9,83.4,Zip,,,,108525,,,,117707,,,,0.441,,,,31356,,,,4418,,,,1033,,,,0.0407095139368809,,,,0.0329442530935068,,,,0.329796709630095,,,,0.00318334977753784,,,,0.127830024381749,,,,0.293470102576933,,,,0.815,,,,0.130863856254319,,,,0.16181524994241,,,,0.0699930891499655,,,,0.606486984565768,,,,7994
75035,ZCTA5 75035,1988,2166,2368,1097,3375,28414,7549,38189,6710,20264,4993,24220,513,388,387,38216,155,47289,83.6,75,80.9,85.3,Zip,,,,75485,,,,134636,,,,0.3591,,,,24042,,,,2189,,,,637,,,,0.0289991389017686,,,,0.0264952998918559,,,,0.206151940545004,,,,0.00405589281976136,,,,0.163429054054054,,,,0.24699085219066,,,,0.812,,,,0.10000662383255,,,,0.268450685566669,,,,0.0888918328144665,,,,0.505915082466715,,,,4154
75038,ZCTA5 75038,1653,1365,1055,1168,4142,8556,5747,5165,8488,9589,10291,12381,542,393,104,17228,413,19889,75,76.6,85.6,85,Zip,,,,29990,,,,61692,,,,0.4329,,,,7083,,,,4114,,,,1363,,,,0.137179059686562,,,,0.192432585062826,,,,0.831192956950166,,,,0.023972602739726,,,,0.0985781990521327,,,,0.359178263750828,,,,0.8055,,,,0.191630543514505,,,,0.319739913304435,,,,0.283027675891964,,,,0.172224074691564,,,,3018
75039,ZCTA5 75039,571,518,504,112,920,10843,2297,5681,4162,7536,8514,10160,132,36,65,13295,129,15602,85.5,83.7,85.9,86.3,Zip,,,,20108,,,,92224,,,,0.3909,,,,3417,,,,740,,,,137,,,,0.0368012731251243,,,,0.0400936494000585,,,,0.837992125984252,,,,0.00970289582549831,,,,0.128968253968254,,,,0.242424242424242,,,,0.8535,,,,0.114233141038393,,,,0.374776208474239,,,,0.20698229560374,,,,0.282524368410583,,,,1089
75040,ZCTA5 75040,3199,3289,1596,8822,7704,5973,30094,15194,7411,7711,5499,18295,1112,772,220,30979,617,39110,78.1,77.8,80.6,82.3,Zip,,,,62417,,,,63924,,,,0.3643,,,,16819,,,,6717,,,,2592,,,,0.107614912603938,,,,0.154111421606516,,,,0.300573927302542,,,,0.0199167177765583,,,,0.137844611528822,,,,0.342786683107275,,,,0.797,,,,0.482144287613951,,,,0.123540061201275,,,,0.118733678324815,,,,0.243427271416441,,,,6488
75041,ZCTA5 75041,1669,1284,887,5084,4117,1799,19722,7694,2204,696,3631,9199,644,628,143,14018,350,18165,70,78.3,81.9,75.5,Zip,,,,30880,,,,50395,,,,0.4555,,,,9762,,,,6763,,,,3392,,,,0.219009067357513,,,,0.347469780782627,,,,0.394716817045331,,,,0.0249678984163219,,,,0.161217587373168,,,,0.436166610226888,,,,0.76425,,,,0.638665803108808,,,,0.0225388601036269,,,,0.0713730569948187,,,,0.249158031088083,,,,2953
75042,ZCTA5 75042,2167,1858,1146,7648,4484,2612,22234,7686,3874,4751,5462,11312,922,469,225,18183,553,23410,66.9,78.7,80,78.2,Zip,,,,39183,,,,50549,,,,0.4062,,,,11748,,,,7406,,,,3658,,,,0.189010540285328,,,,0.3113721484508,,,,0.482850070721358,,,,0.030413023153495,,,,0.196335078534031,,,,0.458136645962733,,,,0.7595,,,,0.567439961207667,,,,0.121251563177909,,,,0.0988694076512773,,,,0.196156496439783,,,,4025
75043,ZCTA5 75043,3093,2216,1777,4929,7608,8178,19463,21514,14970,4691,8633,21088,1052,646,321,30801,1115,40014,79.5,79.1,81.1,81.7,Zip,,,,62601,,,,63331,,,,0.3933,,,,17278,,,,6404,,,,3035,,,,0.102298685324516,,,,0.175656904734344,,,,0.409379742033384,,,,0.0362001233726178,,,,0.180641530669668,,,,0.396308155961575,,,,0.8035,,,,0.310905576588233,,,,0.0749349051932078,,,,0.239133560166771,,,,0.34366863149151,,,,5309
