GEOID,NAME,exp_blwh,exp_aswh,exp_hiswh,exp_whbl,exp_asbl,exp_hisbl,exp_blhis,exp_ashis,exp_whhis,exp_blas,exp_whas,exp_hisas,Geoid2
48113013726,"Census Tract 137.26, Dallas County, Texas",7.86748596055467e-05,0.000392047198872849,0.000169226469165039,2.75916517359659e-05,8.23658793962224e-05,3.55530838888017e-05,6.57548597253698e-05,0.000327665135938684,0.000109764169133035,3.55841337481968e-05,5.94003681477344e-05,7.65400452278569e-05,48113013726
48113013727,"Census Tract 137.27, Dallas County, Texas",0.000239096395645583,0.000344053499373527,0.000155575217578442,8.38522561470517e-05,0.000112755227832072,5.09860214618445e-05,9.4297830806015e-05,0.000135692127790307,0.000100909654260615,4.87130974305954e-05,5.21286839545359e-05,3.16966331141124e-05,48113013727
48113013803,"Census Tract 138.03, Dallas County, Texas",7.42054727944054e-05,0.00042550111224439,0.000526756605038505,2.6024216280922e-05,1.40520757608855e-05,1.73960149775038e-05,3.21736513266711e-05,0.000184486721921323,0.000341666415263923,6.07085053884678e-06,6.4469081241375e-05,4.3094673466998e-05,48113013803
48113013804,"Census Tract 138.04, Dallas County, Texas",5.53382528319454e-05,2.34531611967233e-05,0.000394450367685723,1.94073914776737e-05,1.98235052972304e-06,3.33404477448647e-05,6.16626245841677e-05,2.61335224763488e-05,0.000255849555254966,8.56425341446774e-07,3.55346604520787e-06,6.10458902370762e-06,48113013804
48113013805,"Census Tract 138.05, Dallas County, Texas",0.000172678800381865,0.000261784461627963,0.000202742967674013,6.05592859804086e-05,9.74643687907184e-05,7.54827664263249e-05,0.000139604168616416,0.000211642668593068,0.000131503738771507,4.21070613238856e-05,3.96638298673337e-05,4.94380928866632e-05,48113013805
48113013806,"Census Tract 138.06, Dallas County, Texas",0.000221524279577385,0.000735695972275002,0.000125817151559639,7.76896305097319e-05,0.000250755888594028,4.28837357123845e-05,7.93127829666513e-05,0.000263402707323119,8.16078901354401e-05,0.000108332857528953,0.000111467730731355,6.152883819603e-05,48113013806
48113013901,"Census Tract 139.01, Dallas County, Texas",1.59676029104118e-05,2.22336835996847e-05,0.000213882581948747,5.59991515423328e-06,5.30953638201425e-06,5.10764374802977e-05,9.44650537852906e-05,0.000131535467713806,0.000138729148078701,2.29385340317483e-06,3.36869895996846e-06,3.07256694217416e-05,48113013901
48113013902,"Census Tract 139.02, Dallas County, Texas",5.35785619569257e-05,9.61316918701352e-05,0.000496594911994756,1.87902594226573e-05,9.04579951339245e-06,4.67285858168785e-05,8.64237717089164e-05,0.000155063202309455,0.000322102849393126,3.90801314941942e-06,1.45652306767344e-05,3.62215665207756e-05,48113013902
48113014001,"Census Tract 140.01, Dallas County, Texas",6.36521911629144e-05,0.000596829373792185,0.000321412207470588,2.23231296452729e-05,2.72019567815673e-05,1.46491465745575e-05,2.70933621713139e-05,0.000254038613332942,0.000208475329399074,1.17519302340182e-05,9.04275929698341e-05,5.93414581579532e-05,48113014001
48113014002,"Census Tract 140.02, Dallas County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,48113014002
