GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
4817429,"Coyote Flats city, Texas",PLACE,346,8,51786,0.4255,31,63,35,30,310,0,2,17,130,0,158,0,75,26,241,75,30,0.895953757225434,0,0.00578034682080925,0.0867052023121387,0.58825,0.333333333333333,0,0,0.216763005780347,0.346666666666667,0.130769230769231,-0.0846153846153845,-0.0894736842105263,-0.0784340104937442,0.105481943361912,1.81818181818182,-0.315217391304348,-0.136490250696379,0,Inf,0.428571428571429,0.0825000000000001,1,0,0,4.35714285714286,Inf
4825752,"Ferris city, Texas",PLACE,2692,111,59129,0.38,363,338,143,1214,1114,352,4,303,863,14,1172,0,382,138,1563,911,218,0.413818722139673,0.13075780089153,0.00148588410104012,0.450965824665676,0.76825,0.495412844036697,0.126126126126126,0,0.141901931649331,0.151481888035126,0.351100811123986,0.249599705045823,0.0903199675982179,0.182613113167169,-0.110278623273238,0.0461095100864553,-0.0815217391304348,0.00450856627592426,-0.239740820734341,-0.636363636363636,0.482295482295482,0.21625,0.148936170212766,-0.222222222222222,0,-0.258252427184466,-0.1375
4829000,"Garland city, Texas",PLACE,238418,6329,61211,0.4095,29357,29025,27320,101217,68798,35205,26257,28210,75234,1032,116635,3019,31209,14028,150729,64823,22866,0.288560427484502,0.147660830977527,0.110130107626102,0.424535899135132,0.7905,0.380390098836701,0.163058935060831,0.0258841685600377,0.130900351483529,0.216404671181525,0.374963447377515,0.0391800560053407,0.0263145433804696,0.0900023434400417,0.0201793721973094,0.0122056338999414,0.0159257962898145,-0.0770572294813662,0.179594571955101,0.0629073391895721,0.0877466362893866,0.15975,0.166577253218884,0.461756373937677,0.253737541528239,-0.196286472148541,-0.1678728200261
4854444,"Ovilla city, Texas",PLACE,3903,154,106333,0.3079,54,377,926,324,2819,662,0,55,1416,13,1840,0,78,18,2796,934,173,0.722264924417115,0.169613118114271,0,0.0830130668716372,0.91525,0.624277456647399,0.0844155844155844,0,0.0199846272098386,0.019271948608137,0.0388418079096045,-0.363093944661741,0.128034682080925,0.10703623330539,-0.17497320471597,0.102040816326531,-0.102380952380952,-0.0269244045564377,1.31468531468531,-1,0.384615384615385,0.265,2.6,0.444444444444444,-1,-0.413533834586466,Inf
4880356,"Wylie city, Texas",PLACE,49759,1770,92395,0.318,2059,5578,10176,10507,26936,5866,4193,3273,15181,210,26118,219,3154,1298,30555,15159,4045,0.541329206776664,0.117888221226311,0.0842661629052031,0.21115778050202,0.83825,0.389122373300371,0.11864406779661,0.00838502182402941,0.063385518197713,0.0856257009037535,0.215598445425203,0.388092627678741,0.143070455537433,0.0234098849908597,-0.0293040293040293,0.330103359173127,0.0570399848398711,-0.00919590965938351,0.0659640196256587,0.888738738738739,0.442278654770076,0.20875,0.179026217228464,3.66666666666667,0.531468531468532,0.240267400707825,0.469988674971688
4825224,"Fairview town, Texas",PLACE,8832,60,94507,0.5085,23,271,2807,313,6936,875,503,825,3519,0,3713,52,343,20,6503,2036,293,0.785326086956522,0.0990715579710145,0.0569519927536232,0.0354393115942029,0.85225,0.266211604095563,0,0.0140048478319418,0.0388360507246377,0.00982318271119843,0.234441602728048,0.303207750769369,0.120527784826186,0.177983192858336,0.0121417197452229,-0.752688172043011,-0.301546391752577,-0.0246097595274926,3.80769230769231,2.14375,0.758426966292135,0.32625,-0.549132947976879,-1,-0.638888888888889,-0.349146110056926,-0.81981981981982
4844308,"Lowry Crossing city, Texas",PLACE,1349,24,84559,0.4178,39,230,261,131,1167,13,25,71,504,0,701,0,72,11,1023,242,84,0.865085248332098,0.00963676797627873,0.0185322461082283,0.0971089696071164,0.7735,0.595238095238095,0,0,0.0533728687916976,0.0454545454545455,0.140873015873016,0.978347135955831,-0.255929398786542,-0.126314005798467,0.11205749268033,-0.434782608695652,-0.184397163120567,-0.251443232841565,-0.690476190476191,5.25,-0.299465240641711,0.135,0.315789473684211,0,-1,-0.272727272727273,-0.476190476190476
4845012,"Lucas city, Texas",PLACE,7763,205,160278,0.4568,92,358,2420,623,6326,286,272,92,2228,9,3779,39,57,0,4930,2379,454,0.814891150328481,0.0368414272832668,0.0350380007728971,0.0802524797114518,0.7275,0.233480176211454,0.0439024390243902,0.0103201905265943,0.00734252222079093,0,0.0412926391382406,-0.715487459877047,0.309547908232119,0.237042841053911,-0.119845857418112,-0.239669421487603,-0.145584725536993,0.149763722282806,Inf,2.53246753246753,0.990415335463259,0.1455,4.57894736842105,Inf,Inf,-0.913109756097561,-1
4803300,"Anna city, Texas",PLACE,13052,709,95136,0.3237,702,1819,2476,2066,8261,1793,786,871,3689,0,6198,0,924,433,7576,4726,750,0.632929819184799,0.137373582592706,0.0602206558381857,0.158289917254061,0.74975,0.882666666666667,0,0,0.0707937480845847,0.0916208209902666,0.236107346164272,0.240898087145097,0.433025911286781,0.386004293676268,-0.0428740390301597,0.0508982035928144,0.631390134529148,0.472549019607843,1.31354838709677,23.5625,-0.151540041067762,0.1345,0.93002915451895,-1,0,0.0535917901938426,-0.273489932885906
4805168,"Azle city, Texas",PLACE,12796,364,72614,0.4202,488,2419,1526,932,11526,50,52,1202,4650,19,5748,3,1115,352,9089,3100,607,0.900750234448265,0.00390747108471397,0.00406376992810253,0.0728352610190685,0.73975,0.71828665568369,0.0521978021978022,0.000521920668058455,0.0871366051891216,0.113548387096774,0.258494623655914,-0.239370059753901,0.190990320178704,0.241165664011836,-0.0951765719207579,-0.377551020408163,0.672890733056708,0.19626362221069,-0.285714285714286,-0.212121212121212,0.105575326215896,0.15475,0.468013468013468,-0.666666666666667,Inf,-0.0964343598055105,-0.0880829015544041
4876672,"Watauga city, Texas",PLACE,24582,877,71897,0.3436,1409,3755,2921,5936,15174,987,1814,1832,7808,168,12698,87,2553,1041,15536,6169,2877,0.617280937271174,0.0401513302416402,0.0737938328858514,0.241477503864616,0.82625,0.447688564476886,0.191562143671608,0.00685147267286187,0.103856480351477,0.168746960609499,0.234631147540984,0.0673493841036607,0.0242926788616192,0.0786715972567292,-0.001453065969195,-0.0594125500667557,-0.0732971372161895,-0.030043467143953,-0.234883720930233,0.514190317195326,0.102935711631364,0.1865,0.699208443271768,0.448275862068966,-0.26890756302521,0.264487369985141,0.293167701863354
4878076,"Westworth Village city, Texas",PLACE,2681,18,60227,0.4659,95,340,406,967,1549,47,47,648,1122,0,1425,7,312,129,1759,698,224,0.577769488996643,0.0175307720999627,0.0175307720999627,0.360686311077956,0.7625,0.294642857142857,0,0.00491228070175439,0.116374487131667,0.184813753581662,0.577540106951872,0.33299541272778,0.0550964187327824,0.0419802451604241,-0.0526636844245629,-0.510309278350515,0.263940520446097,-0.0796197266785502,1.13636363636364,-0.175438596491228,0.373579545454545,0.21225,0.783783783783784,-1,Inf,0.344827586206897,1.015625
4864112,"Saginaw city, Texas",PLACE,23321,601,83402,0.3284,975,3973,3418,6883,14298,1102,579,2156,8037,84,11119,100,1174,262,15380,6472,1469,0.61309549333219,0.0472535483041036,0.0248274087732087,0.295141717765104,0.82425,0.279101429543907,0.139767054908486,0.00899361453368109,0.0503408944727928,0.0404820766378245,0.268259300734105,0.201494248717689,0.11904990403071,0.0362726489724248,-0.126363394519819,0.097972972972973,0.10884733463578,0.00817938231561134,0.400254129606099,0.488431876606684,0.420346677672307,0.18075,-0.504830917874396,1.54545454545455,0.96078431372549,-0.281077770973668,-0.652980132450331
4855152,"Parker city, Texas",PLACE,4722,150,134495,0.4344,356,319,1189,1097,2591,199,746,78,1291,0,2050,17,254,136,3049,1311,362,0.54870817450233,0.0421431596781025,0.157983905124947,0.232316814908937,0.7875,0.187845303867403,0,0.00829268292682927,0.0537907666243117,0.10373760488177,0.0604182804027885,0.489058869093726,0.188223452440866,-0.177569624835508,0.106751592356688,5.47272727272727,0.969135802469136,-0.038946587537092,0,0.734883720930233,0.780844155844156,0.18975,0.478260869565217,-1,-0.776315789473684,1.24778761061947,6.15789473684211
4863668,"Royse City city, Texas",PLACE,12982,322,82860,0.3498,651,1805,1751,2985,8247,1359,69,1070,4209,23,6517,20,898,256,7886,3744,1352,0.635264211985827,0.104683407795409,0.00531505160992143,0.22993375442921,0.848,0.497041420118343,0.0714285714285714,0.00306889673162498,0.0691727006624557,0.0683760683760684,0.254217153718223,-0.00949705663949802,0.330804715530497,0.151656767922398,-0.00822228522823933,0.472850678733032,0.204939919893191,0.0824255151594698,1.69642857142857,0.568181818181818,1.13062098501071,0.2035,0.836065573770492,-0.752688172043011,Inf,0.51433389544688,-0.224242424242424
