GEOID,NAME,tot_popE,tot_popM,pop_u18E,pop_u18M,pop_bpE,pop_bpM,bp_u18E,bp_u18M,cbp_perE,cbp_perM,year
48113019042,"Census Tract 190.42, Dallas County, Texas",5237,559,,,9.3,2.4,0,18,0,3.3,2012
48113019043,"Census Tract 190.43, Dallas County, Texas",7239,533,,,6.5,2.5,13,19,0.8,1.2,2012
48113019100,"Census Tract 191, Dallas County, Texas",5713,645,,,9,3.9,111,150,8,11.2,2012
48113019202,"Census Tract 192.02, Dallas County, Texas",4632,596,,,9.7,3.2,449,240,34.7,14,2012
48113019203,"Census Tract 192.03, Dallas County, Texas",3456,350,,,3.4,2.1,174,164,25.1,18.7,2012
48113019204,"Census Tract 192.04, Dallas County, Texas",8901,818,,,12.5,4,328,237,12.9,9.8,2012
48113019205,"Census Tract 192.05, Dallas County, Texas",3455,266,,,4.9,2.1,0,13,0,4.8,2012
48113019206,"Census Tract 192.06, Dallas County, Texas",5703,437,,,37.3,5.2,118,133,19.9,21.3,2012
48113019208,"Census Tract 192.08, Dallas County, Texas",6337,598,,,11.3,4.2,766,334,38.8,13.9,2012
48113019210,"Census Tract 192.10, Dallas County, Texas",3828,219,,,7.4,2.4,59,75,6.4,7.9,2012
48113019211,"Census Tract 192.11, Dallas County, Texas",4943,345,,,9,3.7,226,192,22.4,17.8,2012
48113019212,"Census Tract 192.12, Dallas County, Texas",3575,519,,,15.7,5.2,1009,372,75.1,13.8,2012
48113019213,"Census Tract 192.13, Dallas County, Texas",3131,470,,,3.5,2.6,759,383,79.6,16.9,2012
48113019301,"Census Tract 193.01, Dallas County, Texas",2779,157,,,4.2,1.6,0,13,0,3.6,2012
48113019302,"Census Tract 193.02, Dallas County, Texas",5322,350,,,59.8,3.4,0,18,0,5.1,2012
48113019400,"Census Tract 194, Dallas County, Texas",3960,259,,,24,5.9,63,61,6.2,5.9,2012
48113019501,"Census Tract 195.01, Dallas County, Texas",6788,310,,,3.7,1.6,0,18,0,1.5,2012
48113019502,"Census Tract 195.02, Dallas County, Texas",4392,305,,,4.6,1.9,11,17,0.8,1.2,2012
48113019600,"Census Tract 196, Dallas County, Texas",2526,277,,,4.4,2,73,103,8.9,11.9,2012
48113019700,"Census Tract 197, Dallas County, Texas",1967,179,,,2.1,1.5,0,13,0,6.1,2012
48113019800,"Census Tract 198, Dallas County, Texas",4130,275,,,3.2,1.4,73,88,6.9,7.9,2012
48113019900,"Census Tract 199, Dallas County, Texas",4227,27,,,11.5,2.6,723,209,52.7,13.3,2012
48113020000,"Census Tract 200, Dallas County, Texas",4211,252,,,4.8,1.9,127,111,8.5,7.3,2012
48113020100,"Census Tract 201, Dallas County, Texas",2443,321,,,9,2.8,323,154,38.4,16.2,2012
48113020200,"Census Tract 202, Dallas County, Texas",3779,542,,,7.7,3.4,635,404,78.6,17.1,2012
48113020300,"Census Tract 203, Dallas County, Texas",2417,321,,,7.4,4.3,237,132,49.9,19.7,2012
48113020400,"Census Tract 204, Dallas County, Texas",4566,573,,,10.3,3.3,46,49,24.3,23.1,2012
48113020500,"Census Tract 205, Dallas County, Texas",4854,579,,,14.8,4.4,1251,424,71.6,11,2012
48113020600,"Census Tract 206, Dallas County, Texas",2429,264,,,7.9,4.8,0,13,0,5.3,2012
48113020700,"Census Tract 207, Dallas County, Texas",4797,327,,,5.9,2.7,0,13,0,4.5,2012
48113980000,"Census Tract 9800, Dallas County, Texas",0,13,,,,,0,13,,,2012
48113980100,"Census Tract 9801, Dallas County, Texas",0,13,,,,,0,13,,,2012
48121020103,"Census Tract 201.03, Denton County, Texas",10025,465,,,5.4,1.4,153,94,5.9,3.7,2012
48121020104,"Census Tract 201.04, Denton County, Texas",3176,333,,,7.7,3.9,88,109,9.3,11.4,2012
48121020105,"Census Tract 201.05, Denton County, Texas",6411,734,,,4.5,2.2,205,208,7.9,7.6,2012
48121020106,"Census Tract 201.06, Denton County, Texas",5989,378,,,7.7,2.9,50,62,2.4,2.9,2012
48121020107,"Census Tract 201.07, Denton County, Texas",4652,339,,,8.4,4.2,45,70,3.9,5.8,2012
48121020108,"Census Tract 201.08, Denton County, Texas",9093,835,,,4.2,2.1,242,205,8.1,6.5,2012
48121020109,"Census Tract 201.09, Denton County, Texas",2116,253,,,3.2,2.8,33,36,4.3,4.6,2012
48121020110,"Census Tract 201.10, Denton County, Texas",5080,371,,,3.5,2.9,79,111,4.4,6,2012
48121020111,"Census Tract 201.11, Denton County, Texas",3814,296,,,5,4.6,32,36,2.2,2.4,2012
48121020112,"Census Tract 201.12, Denton County, Texas",2910,330,,,1.5,1.8,144,212,14.4,18.9,2012
48121020113,"Census Tract 201.13, Denton County, Texas",9370,746,,,6.1,1.9,265,206,8,6,2012
48121020114,"Census Tract 201.14, Denton County, Texas",8388,891,,,4.1,2.4,800,816,25.2,20.8,2012
48121020115,"Census Tract 201.15, Denton County, Texas",4613,595,,,5.3,2.5,120,105,8.5,7.4,2012
48121020202,"Census Tract 202.02, Denton County, Texas",8572,627,,,8.3,2.8,93,87,4.5,4.3,2012
48121020203,"Census Tract 202.03, Denton County, Texas",5027,374,,,8,3.4,686,316,39.7,15.4,2012
48121020204,"Census Tract 202.04, Denton County, Texas",3778,457,,,7.7,4.4,11,21,1.3,2.5,2012
48121020205,"Census Tract 202.05, Denton County, Texas",1602,317,,,3.4,2.9,63,84,17.3,22.8,2012
48121020303,"Census Tract 203.03, Denton County, Texas",9934,585,,,6.2,1.6,314,246,10.5,7.6,2012
48121020305,"Census Tract 203.05, Denton County, Texas",6742,432,,,3.7,1.5,0,18,0,2.3,2012
48121020306,"Census Tract 203.06, Denton County, Texas",6491,474,,,13.6,3.1,49,58,3,3.5,2012
48121020307,"Census Tract 203.07, Denton County, Texas",7683,472,,,7.9,2.3,77,85,3.6,4,2012
48121020308,"Census Tract 203.08, Denton County, Texas",9790,755,,,6.1,2.2,37,37,1.1,1.2,2012
48121020309,"Census Tract 203.09, Denton County, Texas",8989,673,,,5,1.3,169,159,6.5,6.1,2012
48121020310,"Census Tract 203.10, Denton County, Texas",2587,235,,,1.6,1.5,0,13,0,15.8,2012
48121020401,"Census Tract 204.01, Denton County, Texas",6260,624,,,12.6,3.3,149,160,8.4,8.6,2012
48121020402,"Census Tract 204.02, Denton County, Texas",4673,334,,,13.1,4.5,153,185,20.2,22.7,2012
48121020403,"Census Tract 204.03, Denton County, Texas",3719,286,,,19.8,4.7,195,179,36.3,29.1,2012
48121020503,"Census Tract 205.03, Denton County, Texas",5977,518,,,12,4.1,98,88,6.8,6.9,2012
48121020504,"Census Tract 205.04, Denton County, Texas",2785,433,,,8,3.6,238,163,23.5,14.2,2012
48121020505,"Census Tract 205.05, Denton County, Texas",6766,427,,,10.6,3.4,0,18,0,2.4,2012
48121020506,"Census Tract 205.06, Denton County, Texas",1745,232,,,10.2,5.5,98,110,37.7,37.2,2012
48121020601,"Census Tract 206.01, Denton County, Texas",5265,476,,,46.3,5.6,540,204,69.4,16.4,2012
48121020602,"Census Tract 206.02, Denton County, Texas",8426,696,,,12,3.2,451,323,20.1,13.1,2012
48121020700,"Census Tract 207, Denton County, Texas",3613,458,,,48.9,8.2,53,59,26.1,24.1,2012
48121020800,"Census Tract 208, Denton County, Texas",4713,594,,,59,6.9,14,22,4.1,7.3,2012
48121020900,"Census Tract 209, Denton County, Texas",4493,512,,,59.2,6.7,274,160,53.5,24,2012
48121021000,"Census Tract 210, Denton County, Texas",6825,557,,,70.3,4.2,69,82,19.8,28.7,2012
48121021100,"Census Tract 211, Denton County, Texas",2424,229,,,49,6.9,48,45,57.1,42.1,2012
48121021201,"Census Tract 212.01, Denton County, Texas",5565,525,,,34.3,5.4,469,188,38.4,15.5,2012
48121021202,"Census Tract 212.02, Denton County, Texas",4996,469,,,20.1,4.7,277,193,34,20.4,2012
48121021301,"Census Tract 213.01, Denton County, Texas",2586,253,,,61.7,7.4,35,44,32.7,41.7,2012
48121021303,"Census Tract 213.03, Denton County, Texas",6635,608,,,8.6,4.1,61,44,3.4,2.4,2012
48121021304,"Census Tract 213.04, Denton County, Texas",5745,650,,,11.4,4.7,72,85,5.8,6.9,2012
48121021305,"Census Tract 213.05, Denton County, Texas",3795,304,,,14.4,8.7,64,76,11.3,13,2012
48121021403,"Census Tract 214.03, Denton County, Texas",9661,438,,,8.1,1.6,119,96,5.5,4.3,2012
48121021404,"Census Tract 214.04, Denton County, Texas",8303,385,,,5.8,1.6,94,97,3.8,4,2012
48121021405,"Census Tract 214.05, Denton County, Texas",9609,959,,,14,4.2,512,364,18.1,11.8,2012
48121021406,"Census Tract 214.06, Denton County, Texas",6859,413,,,8,2.5,0,18,0,1.8,2012
48121021407,"Census Tract 214.07, Denton County, Texas",6776,513,,,4.6,2.1,302,293,12.5,12.2,2012
48121021408,"Census Tract 214.08, Denton County, Texas",5976,412,,,11.4,3.9,0,18,0,2.2,2012
48121021409,"Census Tract 214.09, Denton County, Texas",7875,488,,,7.1,2.7,332,337,13.7,12.7,2012
48121021502,"Census Tract 215.02, Denton County, Texas",4621,357,,,10.5,3,441,278,35.4,17.1,2012
48121021505,"Census Tract 215.05, Denton County, Texas",5919,440,,,8.5,3.1,75,107,5.5,7.9,2012
48121021512,"Census Tract 215.12, Denton County, Texas",4645,305,,,4.7,2.2,44,46,3.1,3.4,2012
48121021513,"Census Tract 215.13, Denton County, Texas",3556,219,,,2,1.4,0,13,0,4.4,2012
48121021514,"Census Tract 215.14, Denton County, Texas",4111,235,,,5.7,2.8,0,13,0,3.5,2012
48121021515,"Census Tract 215.15, Denton County, Texas",5801,539,,,2.9,1.4,123,95,8,6.2,2012
48121021516,"Census Tract 215.16, Denton County, Texas",6633,523,,,3.7,1.9,75,102,4.4,5.8,2012
48121021517,"Census Tract 215.17, Denton County, Texas",2188,211,,,5.8,3,0,13,0,8.4,2012
48121021518,"Census Tract 215.18, Denton County, Texas",3316,242,,,8.1,3.5,0,13,0,4,2012
48121021519,"Census Tract 215.19, Denton County, Texas",11692,600,,,7.5,1.7,395,286,11.7,8.2,2012
48121021520,"Census Tract 215.20, Denton County, Texas",3726,394,,,7.6,3.2,0,13,0,3.6,2012
48121021521,"Census Tract 215.21, Denton County, Texas",4423,380,,,7.2,2.8,46,77,3.6,6.1,2012
48121021522,"Census Tract 215.22, Denton County, Texas",869,172,,,6.6,2.7,42,66,13.5,19.1,2012
48121021523,"Census Tract 215.23, Denton County, Texas",3710,482,,,7,2.9,185,170,13.9,11.9,2012
48121021524,"Census Tract 215.24, Denton County, Texas",1618,146,,,3.5,2.6,0,13,0,6.7,2012
48121021525,"Census Tract 215.25, Denton County, Texas",7774,419,,,2.1,1.2,63,63,2.2,2.2,2012
48121021526,"Census Tract 215.26, Denton County, Texas",5997,316,,,1.4,1.2,21,32,1,1.4,2012
48121021527,"Census Tract 215.27, Denton County, Texas",5949,547,,,2.5,1.6,196,166,8.2,6.6,2012
48121021611,"Census Tract 216.11, Denton County, Texas",3951,268,,,6.8,2.8,10,16,1.1,1.9,2012
48121021612,"Census Tract 216.12, Denton County, Texas",3354,352,,,7,2.8,16,31,2.3,4.6,2012
48121021613,"Census Tract 216.13, Denton County, Texas",5808,401,,,9.2,2.5,532,229,30,11.5,2012
48121021614,"Census Tract 216.14, Denton County, Texas",3447,362,,,12.5,3.9,125,118,15.3,14,2012
48121021615,"Census Tract 216.15, Denton County, Texas",4665,336,,,11,2.7,224,158,17.7,12.3,2012
48121021616,"Census Tract 216.16, Denton County, Texas",4147,404,,,8.7,3.9,119,109,12.7,12.4,2012
48121021618,"Census Tract 216.18, Denton County, Texas",4145,550,,,11.2,3.7,157,126,15.8,11.9,2012
48121021619,"Census Tract 216.19, Denton County, Texas",3000,602,,,14.1,8.9,316,209,31.2,20.8,2012
48121021620,"Census Tract 216.20, Denton County, Texas",1547,264,,,22.8,10.9,47,80,16.6,23.8,2012
48121021621,"Census Tract 216.21, Denton County, Texas",3902,222,,,7.5,3.3,0,13,0,4.6,2012
48121021622,"Census Tract 216.22, Denton County, Texas",5593,254,,,7.3,2.7,175,168,11.9,11.3,2012
48121021623,"Census Tract 216.23, Denton County, Texas",5733,485,,,7.7,2.9,77,86,5.1,5.6,2012
48121021624,"Census Tract 216.24, Denton County, Texas",8012,1110,,,7.7,4.7,75,95,3.1,4.1,2012
48121021625,"Census Tract 216.25, Denton County, Texas",3542,309,,,2.9,2.1,0,13,0,3.3,2012
48121021626,"Census Tract 216.26, Denton County, Texas",2037,348,,,4.2,5,66,83,10.6,14,2012
48121021627,"Census Tract 216.27, Denton County, Texas",6219,465,,,11.2,3.7,0,18,0,5.3,2012
48121021628,"Census Tract 216.28, Denton County, Texas",6775,534,,,7.2,2.7,38,59,2.4,3.7,2012
48121021629,"Census Tract 216.29, Denton County, Texas",6037,532,,,4.6,1.7,33,52,1.7,2.7,2012
48121021630,"Census Tract 216.30, Denton County, Texas",4976,481,,,10,4.2,56,71,3.9,5.2,2012
48121021631,"Census Tract 216.31, Denton County, Texas",5206,262,,,5.7,2.3,64,91,4.8,6.8,2012
48121021632,"Census Tract 216.32, Denton County, Texas",3453,240,,,8.7,2.8,25,39,3.3,5.1,2012
48121021633,"Census Tract 216.33, Denton County, Texas",4489,265,,,6,2.8,6,33,0.7,3.6,2012
48121021634,"Census Tract 216.34, Denton County, Texas",4817,472,,,16.9,5.3,189,188,30,25.1,2012
48121021635,"Census Tract 216.35, Denton County, Texas",4157,500,,,12.4,4.1,278,202,26.5,18.9,2012
48121021636,"Census Tract 216.36, Denton County, Texas",6937,555,,,14.5,3.8,363,199,34.2,16.5,2012
48121021637,"Census Tract 216.37, Denton County, Texas",3867,467,,,12.6,4.5,246,169,24.2,16.1,2012
48121021638,"Census Tract 216.38, Denton County, Texas",3996,541,,,14.9,5.9,96,121,9.7,11.5,2012
48121021715,"Census Tract 217.15, Denton County, Texas",4734,495,,,4.3,2.5,47,77,3.6,5.8,2012
48121021716,"Census Tract 217.16, Denton County, Texas",5447,697,,,9.6,3,248,197,17.3,12.2,2012
48121021717,"Census Tract 217.17, Denton County, Texas",5836,491,,,12.1,2.7,0,18,0,2.8,2012
48121021718,"Census Tract 217.18, Denton County, Texas",7676,437,,,5.1,2.8,58,78,2.2,2.9,2012
48121021719,"Census Tract 217.19, Denton County, Texas",4376,186,,,7.2,2.2,65,89,5.1,7,2012
48121021720,"Census Tract 217.20, Denton County, Texas",3251,217,,,8,3.7,0,13,0,3.2,2012
48121021721,"Census Tract 217.21, Denton County, Texas",3628,214,,,7.1,3.2,0,13,0,3.3,2012
48121021722,"Census Tract 217.22, Denton County, Texas",3824,349,,,13.3,4.8,126,137,13.3,14.6,2012
48121021723,"Census Tract 217.23, Denton County, Texas",1501,203,,,3.9,3.4,54,62,12.9,15.5,2012
48121021724,"Census Tract 217.24, Denton County, Texas",4417,313,,,8,2.7,0,13,0,2.5,2012
48121021725,"Census Tract 217.25, Denton County, Texas",3778,264,,,8.5,3.2,0,13,0,3.3,2012
48121021726,"Census Tract 217.26, Denton County, Texas",3110,244,,,4.1,2.5,0,13,0,4.1,2012
48121021727,"Census Tract 217.27, Denton County, Texas",4627,359,,,5,2.7,51,88,3.2,5.3,2012
48121021728,"Census Tract 217.28, Denton County, Texas",1584,265,,,4.9,5.3,178,87,35.2,16.6,2012
48121021729,"Census Tract 217.29, Denton County, Texas",3013,256,,,4.6,3.7,49,59,5,6,2012
48121021730,"Census Tract 217.30, Denton County, Texas",3461,177,,,4.7,2.5,0,13,0,4.3,2012
48121021731,"Census Tract 217.31, Denton County, Texas",3782,389,,,6.9,3,61,72,5.5,6.5,2012
48121021732,"Census Tract 217.32, Denton County, Texas",2320,238,,,6.8,5.2,28,33,4.3,4.9,2012
48121021733,"Census Tract 217.33, Denton County, Texas",3029,648,,,10.9,4.7,452,525,39.6,34.5,2012
48121021734,"Census Tract 217.34, Denton County, Texas",2764,533,,,22.2,7.1,418,340,59.7,27.3,2012
48121021735,"Census Tract 217.35, Denton County, Texas",3028,393,,,10.1,6.6,5,62,1.6,19.2,2012
