GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
75156,ZCTA5 75156,14920,41115,0.4584,2897,3239,1005,2015,0.217091152815013,0.346910597169486,Zip
75157,ZCTA5 75157,303,40536,0.4054,64,94,34,2015,0.31023102310231,0.53125,Zip
75158,ZCTA5 75158,4171,59875,0.3828,932,464,120,2015,0.111244305921841,0.128755364806867,Zip
75159,ZCTA5 75159,18861,45835,0.4291,4899,2553,1018,2015,0.135358676634325,0.207797509695856,Zip
75160,ZCTA5 75160,24830,43795,0.4866,6407,4744,1656,2015,0.191059202577527,0.258467301389106,Zip
75161,ZCTA5 75161,6953,51513,0.4107,1299,869,198,2015,0.124982022148713,0.152424942263279,Zip
75164,ZCTA5 75164,602,55500,0.3665,160,26,11,2015,0.0431893687707641,0.06875,Zip
75165,ZCTA5 75165,40835,57717,0.4203,10712,5680,2301,2015,0.139096363413738,0.214805825242718,Zip
75166,ZCTA5 75166,3657,84671,0.3529,1178,36,0,2015,0.00984413453650533,0,Zip
75167,ZCTA5 75167,10372,79690,0.3465,2817,500,177,2015,0.0482067103740841,0.0628328008519702,Zip
75169,ZCTA5 75169,13292,41878,0.5198,2917,2341,810,2015,0.17612097502257,0.27768255056565,Zip
75172,ZCTA5 75172,4050,34792,0.3714,1249,1483,648,2015,0.366172839506173,0.518815052041633,Zip
75173,ZCTA5 75173,4203,66489,0.3884,963,580,159,2015,0.13799666904592,0.165109034267913,Zip
75180,ZCTA5 75180,24011,38972,0.4147,9201,6211,3033,2015,0.258673108158761,0.329638082817085,Zip
75181,ZCTA5 75181,27929,72887,0.3428,8938,3088,1506,2015,0.110566078269899,0.168494070261804,Zip
75182,ZCTA5 75182,5677,124911,0.4076,1593,189,74,2015,0.0332922318125771,0.0464532328939109,Zip
75189,ZCTA5 75189,23167,75669,0.3736,7094,2187,803,2015,0.0944015194025985,0.11319424866084,Zip
75201,ZCTA5 75201,12009,81376,0.5166,564,1674,297,2015,0.139395453409943,0.526595744680851,Zip
75202,ZCTA5 75202,2206,81397,0.4008,93,313,57,2015,0.141885766092475,0.612903225806452,Zip
75203,ZCTA5 75203,15549,30314,0.4565,4129,5244,2290,2015,0.33725641520355,0.554613707919593,Zip
75204,ZCTA5 75204,28672,68263,0.5086,3211,5559,1560,2015,0.193882533482143,0.48582995951417,Zip
75205,ZCTA5 75205,24050,121024,0.5665,5621,1268,223,2015,0.0527234927234927,0.0396726561110123,Zip
75206,ZCTA5 75206,38826,56071,0.5052,4632,6518,1002,2015,0.167877195693607,0.216321243523316,Zip
75207,ZCTA5 75207,8932,81677,0.4735,60,226,0,2015,0.0253022839229736,0,Zip
75208,ZCTA5 75208,30139,46788,0.5279,8046,6954,2815,2015,0.230730946614022,0.349863286104897,Zip
75209,ZCTA5 75209,14430,78917,0.5861,2695,1166,189,2015,0.0808038808038808,0.0701298701298701,Zip
75210,ZCTA5 75210,7365,19882,0.474,2061,3649,1350,2015,0.495451459606246,0.655021834061135,Zip
75211,ZCTA5 75211,76261,36886,0.4037,23934,20682,9430,2015,0.271200220296088,0.394000167126264,Zip
75212,ZCTA5 75212,26043,29860,0.4476,8190,8104,3199,2015,0.311177667703414,0.390598290598291,Zip
75214,ZCTA5 75214,33815,75955,0.5354,6715,3372,801,2015,0.0997190595889398,0.119285182427401,Zip
75215,ZCTA5 75215,14645,25473,0.4773,3170,5173,1566,2015,0.35322635711847,0.494006309148265,Zip
75216,ZCTA5 75216,51133,23426,0.4857,14929,21213,8089,2015,0.414859288522089,0.541831334985599,Zip
75217,ZCTA5 75217,82353,33259,0.4251,28011,26852,13091,2015,0.326059767100166,0.467352111670415,Zip
75218,ZCTA5 75218,22264,70073,0.4784,4038,2735,980,2015,0.122844053180022,0.242694403169886,Zip
75219,ZCTA5 75219,22237,62066,0.5568,2404,3042,833,2015,0.13679902864595,0.346505823627288,Zip
75220,ZCTA5 75220,44450,39863,0.6054,13072,11190,5063,2015,0.251743532058493,0.387316401468788,Zip
75223,ZCTA5 75223,13573,36583,0.5226,3717,3471,1237,2015,0.255728284093421,0.332795264998655,Zip
75224,ZCTA5 75224,35655,35547,0.4642,11036,10714,4672,2015,0.300490814752489,0.423341790503806,Zip
75225,ZCTA5 75225,21001,151967,0.5255,5481,526,56,2015,0.0250464263606495,0.0102171136653895,Zip
75226,ZCTA5 75226,3571,50739,0.385,299,1164,97,2015,0.325959115093811,0.324414715719064,Zip
75227,ZCTA5 75227,57876,36994,0.4026,19694,16308,7852,2015,0.28177482894464,0.39870011170915,Zip
75228,ZCTA5 75228,73579,36457,0.449,21739,20150,8336,2015,0.273855311977602,0.383458300749805,Zip
75229,ZCTA5 75229,32806,78806,0.5435,8350,4331,1724,2015,0.132018533195147,0.206467065868263,Zip
75230,ZCTA5 75230,27052,69893,0.5918,5630,2371,651,2015,0.0876460150820642,0.11563055062167,Zip
75231,ZCTA5 75231,37979,31891,0.5614,10361,13000,5769,2015,0.342294425866926,0.556799536724254,Zip
75232,ZCTA5 75232,29155,34105,0.4442,7361,8922,3529,2015,0.306019550677414,0.479418557261242,Zip
75233,ZCTA5 75233,15373,39066,0.4423,4629,4301,1787,2015,0.279776231054446,0.386044502052279,Zip
75234,ZCTA5 75234,30682,56573,0.4371,7352,4114,1710,2015,0.13408513134737,0.232589771490751,Zip
75235,ZCTA5 75235,18914,44620,0.4217,4309,5274,1642,2015,0.278841070106799,0.381062891622186,Zip
75236,ZCTA5 75236,16406,39155,0.4533,5355,3272,1401,2015,0.199439229550165,0.261624649859944,Zip
75237,ZCTA5 75237,19312,27742,0.4216,5896,5767,2484,2015,0.298622618061309,0.421302578018996,Zip
75238,ZCTA5 75238,31362,51838,0.5097,9089,5626,2388,2015,0.179389069574645,0.262735174386621,Zip
75240,ZCTA5 75240,26603,37306,0.5004,7909,8378,4256,2015,0.314926887944969,0.538121127829056,Zip
75241,ZCTA5 75241,29362,33481,0.4718,7670,7367,3094,2015,0.250902527075812,0.403389830508475,Zip
75243,ZCTA5 75243,61406,36048,0.5045,16268,16538,6457,2015,0.269322216070091,0.396914187361692,Zip
75244,ZCTA5 75244,13351,76467,0.4697,2702,836,328,2015,0.0626170324320276,0.12139156180607,Zip
75246,ZCTA5 75246,2895,33348,0.5622,701,1244,531,2015,0.429706390328152,0.757489300998573,Zip
75247,ZCTA5 75247,629,15179,0.3832,0,383,0,2015,0.608903020667727,,Zip
75248,ZCTA5 75248,35236,72735,0.4993,6650,2419,575,2015,0.0686513792711999,0.0864661654135338,Zip
75249,ZCTA5 75249,14496,52242,0.3664,4636,1905,803,2015,0.131415562913907,0.17320966350302,Zip
75251,ZCTA5 75251,2876,67883,0.4149,461,384,124,2015,0.133518776077886,0.268980477223427,Zip
75252,ZCTA5 75252,25749,56806,0.5451,4237,3785,997,2015,0.146995999844654,0.235308000944064,Zip
75253,ZCTA5 75253,19514,36954,0.3959,7158,5617,2769,2015,0.287844624372246,0.386839899413244,Zip
75254,ZCTA5 75254,25375,42394,0.5261,6523,4880,2154,2015,0.192315270935961,0.330216158209413,Zip
75270,ZCTA5 75270,0,,,0,0,0,2015,,,Zip
75287,ZCTA5 75287,52559,48662,0.4779,10141,6519,1926,2015,0.124032040183413,0.189922098412385,Zip
75390,ZCTA5 75390,0,,,0,0,0,2015,,,Zip
75407,ZCTA5 75407,15932,49707,0.4141,5058,2954,1388,2015,0.185413005272408,0.274416765519968,Zip
75409,ZCTA5 75409,13056,68132,0.3495,3829,1642,901,2015,0.125765931372549,0.235309480282058,Zip
75423,ZCTA5 75423,2788,46714,0.4071,533,370,76,2015,0.132711621233859,0.142589118198874,Zip
75424,ZCTA5 75424,3638,49583,0.4001,1067,389,111,2015,0.106926882902694,0.104029990627929,Zip
75442,ZCTA5 75442,9740,58255,0.4078,2302,1576,526,2015,0.161806981519507,0.228496959165943,Zip
75452,ZCTA5 75452,4524,53636,0.4098,1227,601,176,2015,0.132847038019452,0.143439282803586,Zip
75454,ZCTA5 75454,7109,99273,0.3581,2332,58,0,2015,0.0081586721057814,0,Zip
75474,ZCTA5 75474,15049,44021,0.4462,2997,2947,816,2015,0.19582696524686,0.272272272272272,Zip
75490,ZCTA5 75490,2225,56184,0.3817,559,324,124,2015,0.14561797752809,0.221824686940966,Zip
75491,ZCTA5 75491,5436,48962,0.4479,1283,736,250,2015,0.135393671817513,0.19485580670304,Zip
75495,ZCTA5 75495,7034,67596,0.3812,1763,484,164,2015,0.0688086437304521,0.0930232558139535,Zip
76001,ZCTA5 76001,30308,75818,0.401,8568,2508,779,2015,0.0827504289296555,0.0909197012138189,Zip
76002,ZCTA5 76002,33758,81969,0.3361,10347,2656,1203,2015,0.0786776467800225,0.116265584227312,Zip
76006,ZCTA5 76006,23823,41213,0.4746,5156,3810,1287,2015,0.159929479914368,0.249612102404965,Zip
76008,ZCTA5 76008,15003,108140,0.4131,4319,731,270,2015,0.0487235886156102,0.0625144709423478,Zip
76009,ZCTA5 76009,20144,52547,0.3973,4932,2632,757,2015,0.130659253375695,0.153487429034874,Zip
76010,ZCTA5 76010,58674,31076,0.4279,18250,20275,8945,2015,0.345553396734499,0.49013698630137,Zip
76011,ZCTA5 76011,22730,34187,0.4762,5427,7332,2711,2015,0.322569291684998,0.49953934033536,Zip
76012,ZCTA5 76012,26423,56749,0.4644,6142,4767,1830,2015,0.180411005563335,0.297948550960599,Zip
76013,ZCTA5 76013,30855,47006,0.4687,5917,5989,1436,2015,0.194101442229784,0.242690552644921,Zip
76014,ZCTA5 76014,34933,47744,0.3631,10635,7394,3335,2015,0.211662325022185,0.313587212035731,Zip
76015,ZCTA5 76015,16747,50407,0.4163,3845,2478,773,2015,0.147966800023885,0.201040312093628,Zip
76016,ZCTA5 76016,31811,83529,0.4099,6949,1635,699,2015,0.0513973153940461,0.100590012951504,Zip
76017,ZCTA5 76017,45618,68438,0.386,10704,4810,1752,2015,0.105440834758209,0.163677130044843,Zip
76018,ZCTA5 76018,28507,61557,0.3395,8554,2371,967,2015,0.083172554109517,0.113046527940145,Zip
76020,ZCTA5 76020,26707,57650,0.4709,5410,3272,934,2015,0.122514696521511,0.17264325323475,Zip
76021,ZCTA5 76021,35729,65579,0.4022,6591,2160,477,2015,0.0604550925018892,0.0723714155666818,Zip
76022,ZCTA5 76022,12701,51518,0.4022,2561,1120,279,2015,0.0881820329107944,0.108941819601718,Zip
76028,ZCTA5 76028,64909,72605,0.389,17619,4589,1868,2015,0.070698978569998,0.106021908167319,Zip
76031,ZCTA5 76031,17840,48609,0.4329,4953,3721,1796,2015,0.208576233183857,0.362608520088835,Zip
76033,ZCTA5 76033,24689,51818,0.422,6322,3393,1290,2015,0.137429624529143,0.204049351471053,Zip
76034,ZCTA5 76034,24542,152351,0.435,5988,462,183,2015,0.0188248716486024,0.030561122244489,Zip
76035,ZCTA5 76035,1800,100980,0.5055,334,161,81,2015,0.0894444444444444,0.24251497005988,Zip
76036,ZCTA5 76036,23377,63349,0.3861,5988,2554,1124,2015,0.109252684262309,0.187708750835003,Zip
76039,ZCTA5 76039,33283,60376,0.4257,7814,3220,1135,2015,0.096746086590752,0.145252111594574,Zip
76040,ZCTA5 76040,30531,46805,0.4209,7645,4659,1761,2015,0.152598997740002,0.230346631785481,Zip
76041,ZCTA5 76041,304,49844,0.286,113,14,9,2015,0.0460526315789474,0.079646017699115,Zip
76044,ZCTA5 76044,3749,57431,0.4986,996,422,132,2015,0.112563350226727,0.132530120481928,Zip
76049,ZCTA5 76049,25854,63444,0.4237,4780,2298,680,2015,0.088883731724298,0.142259414225941,Zip
76050,ZCTA5 76050,5789,63456,0.4619,1460,538,208,2015,0.0929348764898946,0.142465753424658,Zip
76051,ZCTA5 76051,49599,79000,0.4425,12442,5888,2610,2015,0.118712070807879,0.20977334833628,Zip
76052,ZCTA5 76052,18187,103761,0.3307,6145,934,481,2015,0.0513553637213394,0.0782750203417413,Zip
76053,ZCTA5 76053,29809,49543,0.4179,7751,4629,2139,2015,0.155288671206683,0.275964391691395,Zip
76054,ZCTA5 76054,11620,86186,0.3961,2116,550,126,2015,0.0473321858864028,0.0595463137996219,Zip
76055,ZCTA5 76055,2744,40739,0.5294,628,655,273,2015,0.238702623906706,0.434713375796178,Zip
76058,ZCTA5 76058,17298,57491,0.3894,5179,2420,1047,2015,0.139900566539484,0.202162579648581,Zip
76059,ZCTA5 76059,5119,38774,0.4501,1424,1203,496,2015,0.235006837272905,0.348314606741573,Zip
76060,ZCTA5 76060,7404,76589,0.3829,1682,554,156,2015,0.0748244192328471,0.0927467300832342,Zip
76061,ZCTA5 76061,188,,0.2866,0,0,0,2015,0,,Zip
76063,ZCTA5 76063,65707,88507,0.4129,19229,4081,1334,2015,0.0621090599175126,0.0693743824431848,Zip
76064,ZCTA5 76064,1398,90000,0.3327,451,55,21,2015,0.0393419170243205,0.0465631929046563,Zip
76065,ZCTA5 76065,31097,85836,0.3633,8775,1508,552,2015,0.0484934238029392,0.0629059829059829,Zip
76070,ZCTA5 76070,656,56957,0.2992,157,19,0,2015,0.0289634146341463,0,Zip
76071,ZCTA5 76071,3923,64188,0.4454,938,372,123,2015,0.0948253887331124,0.131130063965885,Zip
76078,ZCTA5 76078,10292,63571,0.3703,3176,1338,655,2015,0.130003886513797,0.206234256926952,Zip
76084,ZCTA5 76084,8108,51875,0.3687,1746,862,170,2015,0.106314750863345,0.0973654066437572,Zip
76092,ZCTA5 76092,28371,182951,0.4716,9168,826,241,2015,0.0291142363681224,0.0262870855148342,Zip
76093,ZCTA5 76093,1849,59643,0.35,484,278,120,2015,0.150351541373716,0.247933884297521,Zip
76102,ZCTA5 76102,9377,52824,0.4994,1245,2902,899,2015,0.309480644129252,0.722088353413655,Zip
