GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_ba_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
75158,ZCTA5 75158,ZIP,4191,138,63750,0.4566,191,965,409,386,3551,99,11,187,1373,7,1729,9,680,243,3010,1030,151,0.847291815795753,0.0236220472440945,0.0026246719160105,0.0921021235981866,0.72225,0.370860927152318,0.0507246376811594,0.00520532099479468,0.162252445717013,0.235922330097087,0.136198106336489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75159,ZCTA5 75159,ZIP,20098,520,55712,0.4169,3013,3488,1266,8107,8731,2844,84,1399,5359,102,7517,2,2436,1060,12876,5557,1665,0.434421335456264,0.141506617573888,0.00417952035028361,0.403373469997015,0.6105,0.402402402402402,0.196153846153846,0.000266063589197818,0.121206090158225,0.190750404894727,0.261056167195372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75160,ZCTA5 75160,ZIP,25525,687,54596,0.4497,2270,4182,2419,6897,13484,4286,298,3102,8313,28,11308,0,4339,1588,17058,6289,2178,0.528266405484819,0.167913809990206,0.0116748285994123,0.270205680705191,0.74875,0.400367309458219,0.0407569141193595,0,0.169990205680705,0.252504372714263,0.373150487188741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75161,ZCTA5 75161,ZIP,6529,81,58125,0.3866,513,1842,292,759,4673,797,0,348,2106,0,3008,0,729,175,4691,1365,473,0.71572982079951,0.122070761219176,0,0.116250574360545,0.71825,0.591966173361522,0,0,0.111655689998468,0.128205128205128,0.165242165242165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75164,ZCTA5 75164,ZIP,633,0,48656,0.4238,27,198,23,133,448,37,0,71,265,0,309,0,89,30,426,120,87,0.707740916271722,0.0584518167456556,0,0.210110584518167,0.8465,0.344827586206897,0,0,0.140600315955766,0.25,0.267924528301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75165,ZCTA5 75165,ZIP,45059,1459,69827,0.421,2976,6176,5355,11138,28412,4523,330,5855,15459,105,21575,115,4951,2022,29294,11569,4196,0.630551055283073,0.100379502430147,0.00732373110810271,0.247187021460752,0.8035,0.349857006673022,0.0719671007539411,0.00533024333719583,0.109878159746111,0.17477742242199,0.378743773853419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75166,ZCTA5 75166,ZIP,4395,116,93047,0.3476,58,591,784,727,2944,450,120,163,1389,9,2335,7,84,20,2769,1341,285,0.669852104664391,0.102389078498294,0.0273037542662116,0.165415244596132,0.88125,0.624561403508772,0.0775862068965517,0.00299785867237687,0.0191126279863481,0.0149142431021626,0.117350611951044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75167,ZCTA5 75167,ZIP,12170,263,104907,0.3615,817,1338,2001,2005,9322,578,74,196,3656,42,6285,13,255,36,8058,3187,925,0.765981922760887,0.047493837304848,0.00608052588331964,0.164749383730485,0.85475,0.345945945945946,0.159695817490494,0.0020684168655529,0.0209531635168447,0.0112958895513022,0.0536105032822757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75169,ZCTA5 75169,ZIP,14142,339,47674,0.4644,1285,2405,715,1169,12057,596,0,1307,5379,0,5588,0,2137,649,9962,3270,910,0.85256682223165,0.0421439683213124,0,0.0826615754490171,0.7415,0.687912087912088,0,0,0.151110168293028,0.198470948012232,0.242981966908347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75172,ZCTA5 75172,ZIP,4619,112,44891,0.3329,728,726,169,2055,1137,1297,12,609,1384,18,1995,0,1242,571,2954,1284,381,0.246157176878112,0.280796709244425,0.00259796492747348,0.444901493829833,0.64225,0.398950131233596,0.160714285714286,0,0.268889369993505,0.444704049844237,0.440028901734104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
